gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3337669199,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/91199992,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Otago,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.813062,170.593357,115.0,,,,,,2021-08-12T15:38,12,8,2021,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,91199992,,Luca Nikkel,2021-08-15 00:43:21,CC_BY_NC_4_0,Luca Nikkel,Luca Nikkel,,,2026-06-23 20:21:08.330000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5897799925,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/326286867,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Otago,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.813062,170.593357,115.0,,,,,,2025-11-07T21:51,7,11,2025,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,326286867,,Luca Nikkel,2025-11-13 04:52:37,CC_BY_NC_4_0,Luca Nikkel,Luca Nikkel,,,2026-06-23 21:03:52.493000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4400420978,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/179227778,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Otago,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.813062,170.593357,115.0,,,,,,2023-04-23T09:04,23,4,2023,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,179227778,,Luca Nikkel,2023-08-19 21:24:58,CC_BY_NC_4_0,Luca Nikkel,Luca Nikkel,,,2026-06-23 20:35:48.372000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
3773751245,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/115810665,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Canterbury,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-43.579695,172.63295,,,,,,,2022-05-01T21:47,1,5,2022,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,115810665,,Jon Sullivan,2022-05-06 22:42:48,CC_BY_4_0,Jon Sullivan,Jon Sullivan,,,2026-06-23 20:22:12.392000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5844524320,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/320291721,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Otago,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.813062,170.593357,115.0,,,,,,2025-10-11T07:30,11,10,2025,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,320291721,,Luca Nikkel,2025-10-12 00:21:46,CC_BY_NC_4_0,Luca Nikkel,Luca Nikkel,,,2026-06-23 20:40:22.933000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
2813975784,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/52382947,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Otago,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.875481,170.623381,2.0,,,,,,2014-10-12T23:09,12,10,2014,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,52382947,,Vincent VALLI,2020-07-08 16:58:33,CC_BY_NC_4_0,Vincent VALLI,Vincent VALLI,,,2026-06-23 20:40:05.110000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
3113449652,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/77713089,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Otago,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.813062,170.593357,115.0,,,,,,2021-05-04T06:44,4,5,2021,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,77713089,,Luca Nikkel,2021-05-07 05:18:35,CC_BY_NC_4_0,Luca Nikkel,Luca Nikkel,,,2026-06-23 20:54:21.280000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6236226567,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/354951773,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Otago,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.845946,170.659196,200.0,,,,,,2025-01-10T02:05,10,1,2025,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,354951773,,Saryu Mae 前 朝琉,2026-04-27 02:11:30,CC_BY_NC_4_0,Saryu Mae 前 朝琉,Saryu Mae 前 朝琉,,,2026-06-23 21:04:30.774000+02:00,StillImage;StillImage;StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5133313571,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/269928346,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Waikato,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-38.521984,175.58232,,,,,,,2025-04-08T23:27,8,4,2025,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,269928346,,Carey_Knox_Southern_Scales,2025-04-12 09:12:26,CC_BY_NC_4_0,Carey_Knox_Southern_Scales,Carey_Knox_Southern_Scales,,,2026-06-23 20:39:02.967000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5935416805,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/330924354,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Otago,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.60541,170.667917,2.0,,,,,,2025-03-22T21:22,22,3,2025,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,330924354,,Aalbert Rebergen,2025-12-16 03:03:49,CC_BY_NC_4_0,Aalbert Rebergen,Aalbert Rebergen,,,2026-06-23 20:57:10.182000+02:00,StillImage;StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
