Content,File name,File format,File size,URL file
Interviews,1_Archive_Interviews_Pregnancy_Diagnoses_Final,XLSX,254.888,https://store.pangaea.de/Publications/El_Bizri-etal_2019/1_Archive_Interviews_Pregnancy_Diagnoses_Final.xlsx
Pacas hunting record,2_Archive_Hunting_Registers_Pregnancy_Immatures,XLSX,156.236,https://store.pangaea.de/Publications/El_Bizri-etal_2019/2_Archive_Hunting_Registers_Pregnancy_Immatures.xlsx
Catch-per-unit-effort record,3_Archive_Hunting_Registers_CPUE,XLSX,24.848,https://store.pangaea.de/Publications/El_Bizri-etal_2019/3_Archive_Hunting_Registers_CPUE.xlsx
