Area,Year obs,Date/time start,Date/time end,Content,GeoTIFF,Shapefile,File type,Site info,Event,Latitude,Longitude,Date/Time
"Aalen, Germany",2014,,,Shape file - projection description,,c7126_Aalen_zones_s30l_2014.prj,prj,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2014,,,Shape file - shape format (geometry),,c7126_Aalen_zones_s30l_2014.shp,shp,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2014,,,Shape file - Shape index format,,c7126_Aalen_zones_s30l_2014.shx,shx,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2015,,,Shape file - Attribute format,,c7126_Aalen_zones_s30l_2015.dbf,dbf,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2015,,,Shape file - projection description,,c7126_Aalen_zones_s30l_2015.prj,prj,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2015,,,Shape file - shape format (geometry),,c7126_Aalen_zones_s30l_2015.shp,shp,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2015,,,Shape file - Shape index format,,c7126_Aalen_zones_s30l_2015.shx,shx,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2016,,,Shape file - Attribute format,,c7126_Aalen_zones_s30l_2016.dbf,dbf,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2016,,,Shape file - projection description,,c7126_Aalen_zones_s30l_2016.prj,prj,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2016,,,Shape file - shape format (geometry),,c7126_Aalen_zones_s30l_2016.shp,shp,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2016,,,Shape file - Shape index format,,c7126_Aalen_zones_s30l_2016.shx,shx,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2017,,,Shape file - Attribute format,,c7126_Aalen_zones_s30l_2017.dbf,dbf,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2017,,,Shape file - projection description,,c7126_Aalen_zones_s30l_2017.prj,prj,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2017,,,Shape file - shape format (geometry),,c7126_Aalen_zones_s30l_2017.shp,shp,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2017,,,Shape file - Shape index format,,c7126_Aalen_zones_s30l_2017.shx,shx,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2018,,,Shape file - Attribute format,,c7126_Aalen_zones_s30l_2018.dbf,dbf,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2018,,,Shape file - projection description,,c7126_Aalen_zones_s30l_2018.prj,prj,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2018,,,Shape file - shape format (geometry),,c7126_Aalen_zones_s30l_2018.shp,shp,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2018,,,Shape file - Shape index format,,c7126_Aalen_zones_s30l_2018.shx,shx,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2019,,,Shape file - Attribute format,,c7126_Aalen_zones_s30l_2019.dbf,dbf,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2019,,,Shape file - projection description,,c7126_Aalen_zones_s30l_2019.prj,prj,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2019,,,Shape file - shape format (geometry),,c7126_Aalen_zones_s30l_2019.shp,shp,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2019,,,Shape file - Shape index format,,c7126_Aalen_zones_s30l_2019.shx,shx,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2020,,,Shape file - Attribute format,,c7126_Aalen_zones_s30l_2020.dbf,dbf,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2020,,,Shape file - projection description,,c7126_Aalen_zones_s30l_2020.prj,prj,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2020,,,Shape file - shape format (geometry),,c7126_Aalen_zones_s30l_2020.shp,shp,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2020,,,Shape file - Shape index format,,c7126_Aalen_zones_s30l_2020.shx,shx,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2021,,,Shape file - Attribute format,,c7126_Aalen_zones_s30l_2021.dbf,dbf,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2021,,,Shape file - projection description,,c7126_Aalen_zones_s30l_2021.prj,prj,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2021,,,Shape file - shape format (geometry),,c7126_Aalen_zones_s30l_2021.shp,shp,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2021,,,Shape file - Shape index format,,c7126_Aalen_zones_s30l_2021.shx,shx,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2022,,,Shape file - Attribute format,,c7126_Aalen_zones_s30l_2022.dbf,dbf,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2022,,,Shape file - projection description,,c7126_Aalen_zones_s30l_2022.prj,prj,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2022,,,Shape file - shape format (geometry),,c7126_Aalen_zones_s30l_2022.shp,shp,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2022,,,Shape file - Shape index format,,c7126_Aalen_zones_s30l_2022.shx,shx,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2023,,,Shape file - Attribute format,,c7126_Aalen_zones_s30l_2023.dbf,dbf,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2023,,,Shape file - projection description,,c7126_Aalen_zones_s30l_2023.prj,prj,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2023,,,Shape file - shape format (geometry),,c7126_Aalen_zones_s30l_2023.shp,shp,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2023,,,Shape file - Shape index format,,c7126_Aalen_zones_s30l_2023.shx,shx,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
