Event,Expedition,Latitude,Longitude,Date/Time,Station,Depth water,IFDOM C1,IFDOM C2,IFDOM C3,FDOM A-peak,FDOM C-peak,FDOM M-peak,FDOM T-peak,fDOM FI,fDOM HI,fDOM BI
NunaWP4Mackenzie19_4_STN830,4,69.432,-133.656,2019-09-05 20:39:00,4_STN830,0.3,0.78118661,0.33081614,0.29642609,0.82293625,0.45090345,0.42254948,0.45090345,1.561513,10.428941,0.6003988
NunaWP4Mackenzie19_4_STN840,4,69.399,-133.809,2019-09-05 21:46:00,4_STN840,0.3,,,,,,,,,,
NunaWP4Mackenzie19_4_STN740,4,69.403,-133.85,2019-09-05 22:42:00,4_STN740,0.3,0.87042755,0.38550536,0.34179329,0.92520607,0.50642277,0.47368452,0.50642277,1.563162,9.978945,0.5986328
NunaWP4Mackenzie19_4_STN870,4,69.282,-133.97,2019-09-06 14:25:00,4_STN870,0.3,0.83325207,0.34265908,0.31594639,0.87643372,0.47800023,0.4478944,0.47800023,1.546708,10.151231,0.5922984
NunaWP4Mackenzie19_4_STN860,4,69.354,-133.928,2019-09-06 15:32:00,4_STN860,0.3,0.83417265,0.42352933,0.38178827,0.92620404,0.51284478,0.48170653,0.51284478,1.527035,8.56876,0.6253887
NunaWP4Mackenzie19_4_STN850,4,69.368,-133.894,2019-09-06 15:49:00,4_STN850,0.3,0.84340684,0.38124584,0.33231156,0.89962994,0.49386185,0.45805435,0.49386185,1.550141,9.857917,0.6001506
NunaWP4Mackenzie19_4_STN840_2,4,69.399,-133.81,2019-09-06 16:17:00,4_STN840_2,0.3,0.81538508,0.32336156,0.3119931,0.85086153,0.46649692,0.44328403,0.46649692,1.54927,9.910818,0.5976148
NunaWP4Mackenzie19_4_STN040,4,69.362,-133.74,2019-09-06 16:49:00,4_STN040,0.3,0.87394393,0.41629586,0.3736321,0.95201014,0.52283376,0.4877957,0.52283376,1.546026,8.831864,0.6116485
NunaWP4Mackenzie19_4_STN030,4,69.396,-133.641,2019-09-06 17:10:00,4_STN030,0.3,0.79422047,0.30345534,0.30601238,0.82635182,0.45091562,0.43262635,0.45091562,1.522437,9.635664,0.5909933
NunaWP4Mackenzie19_4_STN020,4,69.416,-133.52,2019-09-06 17:34:00,4_STN020,0.3,0.89258269,0.40221396,0.36851447,0.9683397,0.52320692,0.4939822,0.52320692,1.54023,9.368357,0.5950046
NunaWP4Mackenzie19_4_STN010,4,69.457,-133.147,2019-09-06 18:11:00,4_STN010,0.3,0.92902913,0.42599341,0.38292326,1.00082049,0.55180909,0.51759631,0.55180909,1.560622,9.245792,0.6213024
NunaWP4Mackenzie19_4_STNXX4_2,4,68.357,-133.7384,2019-09-08 12:00:00,4_STNXX4_2,0.3,0.90439285,0.37635296,0.36827145,0.96684644,0.51970323,0.50082729,0.51970323,1.551674,9.623517,0.5940286
