Event,Sample label,Half,Depth sed,Age,Cluster,SST,SST std dev,Latitude,Longitude,Elevation,Date/Time
383-U1539D,"383-U1539D-15H-4,101-103",Working (W),152.03,0.886496742,4.0,0.490738268,0.717571673,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539D,"383-U1539D-15H-5,71-73",Working (W),153.23,0.897157039,5.0,3.138653101,1.802421435,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539D,"383-U1539D-15H-6,15-17",Working (W),154.03,0.904263904,5.0,1.495129747,1.678735346,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539C,"383-U1539C-17H-2,56-58",Working (W),154.07,0.917795714,6.0,2.948027552,1.68781045,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-17H-3,65-67",Working (W),155.67,0.928699947,3.0,2.510649374,1.947377431,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-17H-3,105-107",Working (W),156.07,0.930629535,5.0,0.769617925,0.766033535,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-17H-4,74-76",Working (W),157.27,0.9364183,5.0,3.004824967,1.794783342,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-17H-5,03-05",Working (W),158.07,0.940277477,2.0,2.289500793,1.813556451,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-17H-5,123-125",Working (W),159.27,0.946066242,5.0,1.809693265,1.601547371,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539D,"383-U1539D-17H-2,141-143",Working (W),160.89,0.951864655,6.0,4.044930854,1.529693699,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539D,"383-U1539D-17H-3,30-32",Working (W),161.29,0.953794244,6.0,2.983305847,2.497497711,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539C,"383-U1539C-18H-1,65-67",Working (W),162.15,0.958674919,5.0,2.337878782,1.810685504,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-18H-2,38-40",Working (W),163.35,0.96132056,,0.434374939,1.34404561,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-18H-2,118-120",Working (W),164.15,0.96308432,3.0,1.800987439,1.601542454,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-18H-3,92-94",Working (W),165.35,0.965729961,3.0,1.782281966,1.560851954,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-18H-4,71-73",Working (W),166.15,0.967493722,3.0,1.782260248,1.56083802,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-18H-5,93-95",Working (W),167.35,0.970139362,4.0,0.539012827,0.816109725,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-18H-6,26-28",Working (W),168.15,0.971903123,4.0,1.109509824,1.362197611,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-18H-7,28-30",Working (W),169.35,0.974548764,4.0,1.495126764,1.678730662,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539D,"383-U1539D-19H-2,8-10",Working (W),171.09,0.978958165,4.0,0.540760421,0.809350882,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539D,"383-U1539D-19H-3,18-20",Working (W),172.69,0.982485686,5.0,2.924312177,1.736397311,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539D,"383-U1539D-19H-3,58-60",Working (W),173.09,0.983367567,2.0,3.026864033,1.764905524,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539C,"383-U1539C-19H-3,11-13",Working (W),174.04,0.992179755,5.0,2.129925024,1.738169339,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
