Depth sed,TOC,TIC,Event,Latitude,Longitude,Elevation,Date/Time
0.1,0.603,9.997,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
0.4,0.644,10.056,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
0.75,0.58,10.02,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
1.05,0.577,10.323,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
1.35,0.626,10.274,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
1.7,0.585,10.315,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
2.0,0.526,10.274,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
2.4,0.76,10.24,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
2.7,0.661,10.339,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
3.0,0.491,10.609,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
3.2,0.146,10.354,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
3.4,0.147,10.453,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
3.6,0.329,10.571,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
3.8,0.398,10.502,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
4.0,0.412,10.288,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
4.4,0.223,10.477,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
4.7,0.221,10.479,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
5.4,0.375,10.525,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
6.4,0.384,10.416,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
7.38,0.428,10.572,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
8.38,0.408,10.492,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
9.38,0.342,10.558,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
10.38,0.548,10.052,GeoB16310-3,23.824166666667,-87.170333333333,-573.0,2012-03-23 01:04:00
