Event,Sample ID,Expedition,Date/Time,Year sampl,Vessel,Station,Gear,Depth water,Depth water_2,Location,Latitude,Longitude,Species UID,Species UID (Semantic URI),Species UID (URI),Order,Size,Tissue descriptor,Method comm,No spec,Life stage,Con m,Mass,Sample dm,Mass_2,Ash m,afdm,afdm_2,C/dm,N/dm,H/dm,C/N,C/N_2,C/H,H/C,Comment,H,H2O res,Sum,Sum_2,Elevation
IOS20210060_P12-2,1,IOS20210060,2021-05-06 09:09:00,2021,CCGS John P. Tully,P12,Bongo net,0,250,Northeast Pacific,48.97,-130.667,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,122.0,whole,FD,1,O,65.3,76.6,11.3,73.8,8.5,2.8,24.8,3.61,0.74,1.87,4.88,5.69,1.93,0.518,,0.51,12.28,18.5,74.67,
IOS20210060_P26,2,IOS20210060,2021-05-11 01:36:00,2021,CCGS John P. Tully,P26,Bongo net,0,250,Northeast Pacific,50.0,-145.0,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,94.0,whole,FD,1,O,63.1,83.5,20.4,78.2,15.1,5.3,26.0,4.84,0.83,1.96,5.83,6.8,2.47,0.405,"C: 4.75, N: 0.82, H: 1.94",0.68,11.54,19.17,73.79,
IOS20210060_LJ09,3,IOS20210060,2021-05-24 22:52:00,2021,CCGS John P. Tully,LJ09,Bongo net,0,250,Northeast Pacific,49.269,-127.792,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,118.0,whole,FD,1,O,89.7,104.2,14.5,96.9,7.2,7.3,50.3,18.66,3.28,3.52,5.69,6.64,5.3,0.1886,,2.61,8.17,33.63,66.8,
IOS20210060_LJ09,4,IOS20210060,2021-05-24 22:52:00,2021,CCGS John P. Tully,LJ09,Bongo net,0,250,Northeast Pacific,49.269,-127.792,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,105.0,whole,FD,1,O,76.7,89.9,13.2,83.4,6.7,6.5,49.2,19.34,3.2,3.11,6.04,7.05,6.22,0.1608,,2.71,3.62,29.27,59.44,
IOS20210060_LJ09,5,IOS20210060,2021-05-24 22:52:00,2021,CCGS John P. Tully,LJ09,Bongo net,0,250,Northeast Pacific,49.269,-127.792,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,83.0,whole,FD,1,O,52.4,64.3,11.9,59.3,6.9,5.0,42.0,14.82,2.59,3.07,5.72,6.68,4.83,0.2072,,2.07,8.96,29.44,70.06,
IOS20210060_P12-1,6,IOS20210060,2021-05-05 07:51:00,2021,CCGS John P. Tully,P12,Bongo net,0,250,Northeast Pacific,48.97,-130.667,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,44.0,whole,FD,1,O,63.9,94.5,30.6,83.7,19.8,10.8,35.3,7.04,1.44,2.35,4.89,5.7,3.0,0.3338,,0.99,12.28,23.11,65.48,
IOS20210060_P12-1,8,IOS20210060,2021-05-05 07:51:00,2021,CCGS John P. Tully,P12,Bongo net,0,250,Northeast Pacific,48.97,-130.667,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,47.0,whole,FD,1,B,104.5,134.6,30.1,124.4,19.9,10.2,33.9,9.55,1.62,2.56,5.9,6.88,3.73,0.2681,,1.34,11.01,24.74,73.0,
IOS20210060_P12-1,9,IOS20210060,2021-05-05 07:51:00,2021,CCGS John P. Tully,P12,Bongo net,0,250,Northeast Pacific,48.97,-130.667,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,45.0,whole,FD,1,B,110.5,120.2,9.7,115.4,4.9,4.8,49.5,21.92,2.85,3.61,7.69,8.97,6.07,0.1647,,3.07,4.87,33.25,67.19,
IOS20210060_A2,10,IOS20210060,2021-05-06 01:41:00,2021,CCGS John P. Tully,A2,Bongo net,0,250,Northeast Pacific,48.378,-126.063,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,84.0,whole,FD,1,O,138.8,172.2,33.4,164.4,25.6,7.8,23.4,3.7,0.75,1.83,4.93,5.76,2.02,0.4946,"C: 3.56, N: 0.75, H: 1.77",0.52,11.81,18.09,77.45,
IOS20210060_P8,12,IOS20210060,2021-05-05 13:37:00,2021,CCGS John P. Tully,P8,Bongo net,0,250,Northeast Pacific,48.817,-128.667,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,105.0,whole,OD,1,O,56.5,85.8,29.3,73.6,17.1,12.2,41.6,15.79,2.09,2.97,7.56,8.81,5.32,0.1881,,2.21,6.83,27.68,66.49,
IOS20210060_LG07,13,IOS20210060,2021-05-23 18:35:00,2021,CCGS John P. Tully,LG07,Bongo net,0,250,Northeast Pacific,48.989,-127.121,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,109.0,whole,OD,1,O,92.4,132.7,40.3,116.4,24.0,16.3,40.4,15.28,2.18,2.73,7.01,8.18,5.6,0.1787,,2.14,5.32,25.51,63.06,
IOS20210060_NEWODAS,15,IOS20210060,2021-05-27 19:26:00,2021,CCGS John P. Tully,NEWODAS,Bongo net,0,250,Northeast Pacific,50.941,-129.981,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,54.0,whole,OD,1,B,103.2,156.1,52.9,130.6,27.4,25.5,48.2,19.5,3.2,3.28,6.09,7.11,5.95,0.1682,"C: 20.45, N: 3.34, H: 3.38",2.73,4.95,30.93,64.16,
IOS20210060_NEWODAS,17,IOS20210060,2021-05-27 19:26:00,2021,CCGS John P. Tully,NEWODAS,Bongo net,0,250,Northeast Pacific,50.941,-129.981,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,26.0,whole,OD,1,B,82.1,92.4,10.3,87.7,5.6,4.7,45.6,18.05,2.78,3.36,6.49,7.57,5.37,0.1861,,2.53,7.5,31.69,69.44,
IOS20210060_P12-2,18,IOS20210060,2021-05-06 09:09:00,2021,CCGS John P. Tully,P12,Bongo net,0,250,Northeast Pacific,48.97,-130.667,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,46.0,whole,OD,1,B,80.5,88.8,8.3,84.6,4.1,4.2,50.6,23.21,3.0,3.67,7.74,9.03,6.32,0.1581,,3.25,3.79,33.67,66.53,
IOS20210060_JI22,21,IOS20210060,2021-05-26 08:36:00,2021,CCGS John P. Tully,JI22,Bongo net,0,250,Northeast Pacific,50.667,-129.294,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,13.0,whole,FD,10,B,92.8,104.5,11.7,97.3,4.5,7.2,61.5,24.71,3.76,4.52,6.57,7.67,5.47,0.1829,,3.46,9.55,42.54,69.12,
IOS20210060_JI22,22,IOS20210060,2021-05-26 08:36:00,2021,CCGS John P. Tully,JI22,Bongo net,0,250,Northeast Pacific,50.667,-129.294,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,13.3,whole,FD,11,B,86.2,96.2,10.0,91.0,4.8,5.2,52.0,22.68,3.38,3.98,6.71,7.83,5.7,0.1755,,3.18,7.24,37.28,71.7,
IOS20210060_JI22,23,IOS20210060,2021-05-26 08:36:00,2021,CCGS John P. Tully,JI22,Bongo net,0,250,Northeast Pacific,50.667,-129.294,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,10.2,whole,FD,11,B,125.6,137.3,11.7,131.2,5.6,6.1,52.1,23.54,3.39,3.88,6.94,8.1,6.07,0.1648,,3.3,5.26,36.07,69.18,
IOS20210060_JI22,24,IOS20210060,2021-05-26 08:36:00,2021,CCGS John P. Tully,JI22,Bongo net,0,250,Northeast Pacific,50.667,-129.294,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,12.2,whole,FD,10,B,83.7,94.3,10.6,89.4,5.7,4.9,46.2,21.34,3.22,3.62,6.63,7.73,5.9,0.1696,,2.99,5.69,33.87,73.27,
IOS20210060_P4,25,IOS20210060,2021-05-04 16:56:00,2021,CCGS John P. Tully,P4,Bongo net,0,250,Northeast Pacific,48.633,-126.666,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,16.9,whole,FD,10,B,85.1,98.3,13.2,92.4,7.3,5.9,44.7,16.84,2.39,3.3,7.05,8.22,5.1,0.196,,2.36,8.48,31.01,69.38,
IOS20210060_P4,26,IOS20210060,2021-05-04 16:56:00,2021,CCGS John P. Tully,P4,Bongo net,0,250,Northeast Pacific,48.633,-126.666,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,13.9,whole,FD,8,B,145.7,167.9,22.2,158.7,13.0,9.2,41.4,16.13,2.36,3.23,6.83,7.97,4.99,0.2002,,2.26,8.75,30.47,73.52,
IOS20210060_LB16,27,IOS20210060,2021-05-21 10:24:00,2021,CCGS John P. Tully,LB16,Bongo net,0,250,Northeast Pacific,48.008,-126.286,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,25.9,whole,FD,5,B,152.8,171.2,18.4,162.3,9.5,8.9,48.4,16.37,2.32,3.2,7.06,8.23,5.12,0.1955,,2.29,8.17,30.06,62.15,
IOS20210060_LC09,28,IOS20210060,2021-05-22 00:09:00,2021,CCGS John P. Tully,LC09,Bongo net,0,250,Northeast Pacific,48.432,-126.218,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,20.1,whole,FD,4,B,174.9,190.1,15.2,181.3,6.4,8.8,57.9,27.15,3.91,4.53,6.94,8.1,5.99,0.1669,,3.8,6.56,42.15,72.81,
IOS20210060_LC09,31,IOS20210060,2021-05-22 00:09:00,2021,CCGS John P. Tully,LC09,Bongo net,0,250,Northeast Pacific,48.432,-126.218,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,23.2,whole,OD,5,B,143.7,155.0,11.3,149.1,5.4,5.9,52.2,23.62,3.61,3.8,6.54,7.63,6.22,0.1609,,3.31,4.44,35.47,67.93,
IOS20210060_LG09,35,IOS20210060,2021-05-21 23:45:00,2021,CCGS John P. Tully,LG09,Bongo net,0,250,Northeast Pacific,48.861,-127.311,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,23.4,whole,OD,2,B,128.4,176.4,48.0,154.0,25.6,22.4,46.7,20.87,3.11,3.62,6.71,7.83,5.77,0.1735,,2.92,6.28,33.88,72.61,
IOS20210060_LG09,37,IOS20210060,2021-05-21 23:45:00,2021,CCGS John P. Tully,LG09,Bongo net,0,250,Northeast Pacific,48.861,-127.311,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,21.0,whole,OD,4,B,74.0,83.5,9.5,78.7,4.7,4.8,50.5,21.15,3.26,3.13,6.49,7.57,6.76,0.148,,2.96,1.52,29.06,57.52,
IOS20210060_LG09,38,IOS20210060,2021-05-21 23:45:00,2021,CCGS John P. Tully,LG09,Bongo net,0,250,Northeast Pacific,48.861,-127.311,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,20.2,whole,OD,5,B,99.1,108.3,9.2,103.3,4.2,5.0,54.3,21.32,2.97,3.29,7.18,8.37,6.48,0.1543,,2.98,2.75,30.33,55.8,
IOS20210060_LD11,39,IOS20210060,2021-05-23 04:46:00,2021,CCGS John P. Tully,LD11,Bongo net,0,250,Northeast Pacific,48.478,-126.716,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,20.4,whole,OD,4,B,88.0,97.7,9.7,90.7,2.7,7.0,72.2,13.82,2.58,2.79,5.36,6.25,4.95,0.2019,,1.93,7.7,26.89,37.26,
IOS20210060_LC09,41,IOS20210060,2021-05-22 00:09:00,2021,CCGS John P. Tully,LC09,Bongo net,0,250,Northeast Pacific,48.432,-126.218,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,18.9,whole,FD,10,B,87.8,197.5,109.7,109.7,21.9,87.8,80.0,27.34,4.5,4.3,6.08,7.09,6.36,0.1573,,3.83,4.25,40.39,50.47,
IOS20210060_LD11,42,IOS20210060,2021-05-23 04:46:00,2021,CCGS John P. Tully,LD11,Bongo net,0,250,Northeast Pacific,48.478,-126.716,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,22.9,whole,OD,9,B,100.3,208.9,108.6,108.6,8.3,100.3,92.4,21.43,3.49,3.51,6.14,7.16,6.11,0.1638,,3.0,4.59,33.02,35.75,
MIE_1_10,78B,MIE_1,2004-10-08 00:00:00,2004,NOAA R/V Oscar Elton Sette,10,Cobb trawl,0,500,Hawaii,21.449,-158.259,Pyrosoma atlanticum,urn:lsid:marinespecies.org:taxname:137250,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137250,Pyrosomida,50.0,whole,FD,1,,219.1,240.0,20.9,229.2,10.1,10.8,51.5,19.89,4.35,3.74,4.57,5.33,5.32,0.188,,2.78,8.6,36.58,71.05,
PS65/645-2,119,ANT-XXI/4,2004-04-12 23:45:00,2004,R/V Polarstern,PS65/645-2,RMT-8,0,200,Southern Ocean,-64.0185,-4.0648,Salpa thompsoni,urn:lsid:marinespecies.org:taxname:266545,https://www.marinespecies.org/aphia.php?p=taxdetails&id=266545,Salpida,25.0,whole,FD,1,B,231.4,241.2,9.8,236.3,4.9,4.8,49.5,8.59,1.66,3.48,5.17,6.04,2.47,0.4051,,1.2,20.5,34.23,69.16,-5247.0
PS69/030-1,F120,ANT-XXIII/2,2005-11-25 02:22:00,2005,R/V Polarstern,PS69/030-1,RMT-8,0,3200,Southern Ocean,-51.0643,6.2182,Salpa thompsoni,urn:lsid:marinespecies.org:taxname:266545,https://www.marinespecies.org/aphia.php?p=taxdetails&id=266545,Salpida,33.0,whole,FD,1,B,209.1,223.2,14.1,217.5,8.4,5.7,40.1,13.42,3.16,2.77,4.25,4.95,4.84,0.2064,,1.88,8.02,27.37,68.19,-3796.0
PS69/072-1,F66,ANT-XXIII/2,2005-12-16 23:09:00,2005,R/V Polarstern,PS69/072-1,RMT-8,0,200,Southern Ocean,-64.522,0.024,Salpa thompsoni,urn:lsid:marinespecies.org:taxname:266545,https://www.marinespecies.org/aphia.php?p=taxdetails&id=266545,Salpida,51.0,whole,FD,1,O,240.6,265.9,25.3,253.2,12.7,12.6,50.0,20.38,4.76,3.51,4.28,5.0,5.81,0.1722,,2.85,5.91,34.56,69.12,
PS69/489-1,w131,ANT-XXIII/6,2006-07-07 06:17:00,2006,R/V Polarstern,PS69/489-1,RMT-8,0,200,Southern Ocean,-68.9683,2.9983,Ihlea racovitzai,urn:lsid:marinespecies.org:taxname:266542,https://www.marinespecies.org/aphia.php?p=taxdetails&id=266542,Salpida,55.0,tunic,FD,2,O,240.7,274.1,33.4,259.0,18.3,15.1,45.1,19.03,5.73,3.41,3.32,3.87,5.58,0.1792,,2.65,6.88,35.05,77.74,
PS69/489-1,w132,ANT-XXIII/6,2006-07-07 06:17:00,2006,R/V Polarstern,PS69/489-1,RMT-8,0,200,Southern Ocean,-68.9683,2.9983,Ihlea racovitzai,urn:lsid:marinespecies.org:taxname:266542,https://www.marinespecies.org/aphia.php?p=taxdetails&id=266542,Salpida,59.0,tunic,FD,2,O,220.1,265.9,45.8,246.0,25.9,19.9,43.4,17.41,5.46,3.29,3.19,3.72,5.29,0.189,,2.42,7.83,33.99,78.39,
PS69/493-1,w150,ANT-XXIII/6,2006-07-11 23:44:00,2006,R/V Polarstern,PS69/493-1,RMT-8,0,200,Southern Ocean,-68.057,0.0883,Ihlea racovitzai,urn:lsid:marinespecies.org:taxname:266542,https://www.marinespecies.org/aphia.php?p=taxdetails&id=266542,Salpida,61.0,tunic,FD,7,O,231.0,311.2,80.2,277.6,46.6,33.6,41.8,17.65,5.28,3.11,3.34,3.9,5.68,0.1762,"C: 17.58, N: 5.33, H: 3.09",2.45,5.91,31.95,76.37,
PS69/474-1,w21,ANT-XXIII/6,2006-06-27 02:37:00,2006,R/V Polarstern,PS69/474-1,RMT-8,0,200,Southern Ocean,-61.5067,2.9798,Ihlea racovitzai,urn:lsid:marinespecies.org:taxname:266542,https://www.marinespecies.org/aphia.php?p=taxdetails&id=266542,Salpida,48.0,whole,FD,1,O,190.9,222.4,31.5,205.0,14.1,17.4,55.4,23.54,6.4,4.11,3.68,4.29,5.73,0.1746,,3.3,7.33,41.38,74.74,
PS69/474-1,w22,ANT-XXIII/6,2006-06-27 02:37:00,2006,R/V Polarstern,PS69/474-1,RMT-8,0,200,Southern Ocean,-61.5067,2.9798,Ihlea racovitzai,urn:lsid:marinespecies.org:taxname:266542,https://www.marinespecies.org/aphia.php?p=taxdetails&id=266542,Salpida,37.0,whole,FD,1,O,232.7,241.8,9.1,236.5,3.8,5.3,58.7,23.36,6.9,3.45,3.39,3.95,6.77,0.1477,,3.27,1.62,35.33,60.2,
PS69/474-1,w23,ANT-XXIII/6,2006-06-27 02:37:00,2006,R/V Polarstern,PS69/474-1,RMT-8,0,200,Southern Ocean,-61.5067,2.9798,Ihlea racovitzai,urn:lsid:marinespecies.org:taxname:266542,https://www.marinespecies.org/aphia.php?p=taxdetails&id=266542,Salpida,45.0,whole,FD,1,O,236.8,245.0,8.2,241.4,4.6,3.6,44.0,21.61,5.74,3.69,3.76,4.39,5.86,0.1708,,3.03,5.98,37.02,84.09,
