Site,Country,Province,Lab label,Comm,Dating meth,Age dated,Age dated std dev,Age dated_2,Age dated std dev_2,Reference,Cal age max,Cal age min
Gua Niah,Malaysia,Sarawak,OxA-13941,Uncalibrated,Radiocarbon age,2.986,29.0,,,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",3.325,3.066
Gua Niah,Malaysia,Sarawak,OxA-11548,Uncalibrated,Radiocarbon age,2.308,35.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",2.399,2.157
Gua Niah,Malaysia,Sarawak,GX-0307,Uncalibrated,Radiocarbon age,2.3,80.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",2.699,2.073
Gua Niah,Malaysia,Sarawak,Wk-19569,Uncalibrated,Radiocarbon age,2.266,33.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",2.346,2.156
Gua Niah,Malaysia,Sarawak,GX-0213,Uncalibrated,Radiocarbon age,2.115,125.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",2.352,1.747
Gua Niah,Malaysia,Sarawak,N-1329,Uncalibrated,Radiocarbon age,1.87,75.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",1.989,1.601
Gua Niah,Malaysia,Sarawak,GX-0720A,Uncalibrated,Radiocarbon age,1.86,190.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",2.305,1.38
Gua Niah,Malaysia,Sarawak,GX-0212,Uncalibrated,Radiocarbon age,1.78,105.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",1.928,1.414
Gua Niah,Malaysia,Sarawak,GX-4837,Uncalibrated,Radiocarbon age,1.635,115.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",1.775,1.301
Gua Niah,Malaysia,Sarawak,OxA-13944,Uncalibrated,Radiocarbon age,1.567,27.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",1.523,1.386
Gua Niah,Malaysia,Sarawak,GX-0214,Uncalibrated,Radiocarbon age,1.45,125.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",1.686,1.073
Gua Niah,Malaysia,Sarawak,OxA-15620,Uncalibrated,Radiocarbon age,1.067,27.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",1.055,0.924
Gua Niah,Malaysia,Sarawak,GX-0309,Uncalibrated,Radiocarbon age,1.045,75.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",1.176,0.783
Gua Niah,Malaysia,Sarawak,OxA-14067,Uncalibrated,Radiocarbon age,0.915,28.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",0.911,0.741
Gua Niah,Malaysia,Sarawak,OxA-18397,Uncalibrated,Radiocarbon age,0.626,28.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",0.655,0.552
Gua Niah,Malaysia,Sarawak,N-1345,Uncalibrated,Radiocarbon age,0.55,100.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",0.683,0.325
Gua Niah,Malaysia,Sarawak,OxA-20827,Uncalibrated,Radiocarbon age,0.442,26.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",0.528,0.473
Gua Niah,Malaysia,Sarawak,OxA-18503,Uncalibrated,Radiocarbon age,0.355,25.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",0.492,0.316
Gua Niah,Malaysia,Sarawak,GX-0308,Uncalibrated,Radiocarbon age,0.276,80.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",0.502,
Gua Niah,Malaysia,Sarawak,OxA-11547,Uncalibrated,Radiocarbon age,0.247,27.0,,,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",0.427,0.008
Gua Niah,Malaysia,Sarawak,OxA-15621,Calibrated,Radiocarbon age,,,46.159,467.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",49.91,47.331
Gua Niah,Malaysia,Sarawak,Niah-311,Calibrated,Radiocarbon age,,,45.381,555.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",48.987,46.241
Gua Niah,Malaysia,Sarawak,OxA-15630,Calibrated,Radiocarbon age,,,44.941,329.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",48.14,46.275
Gua Niah,Malaysia,Sarawak,OxA-15630,Calibrated,Radiocarbon age,,,44.941,329.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",48.14,46.275
Gua Niah,Malaysia,Sarawak,Niah-310,Calibrated,Radiocarbon age,,,42.6,670.0,"Barker, G. (2005). The archaeology of foraging and farming at Niah Cave, Sarawak. Asian Perspectives, 44(1), 90–106. https://doi.org/10.1353/asi.2005.0004",46.476,44.296
Gua Niah,Malaysia,Sarawak,Niah-310,Calibrated,Radiocarbon age,,,42.6,670.0,"Hunt, C. O., Gilbertson, D. D., & Rushworth, G. (2007). Modern humans in Sarawak, Malaysian Borneo, during Oxygen Isotope Stage 3: palaeoenvironmental evidence from the Great Cave of Niah. Journal of Archaeological Science, 34(11), 1953–1969. https://doi.org/10.1016/j.jas.2007.02.023",46.476,44.296
Gua Niah,Malaysia,Sarawak,Niah-311,Calibrated,Radiocarbon age,,,41.8,620.0,"Barker, G. (2005). The archaeology of foraging and farming at Niah Cave, Sarawak. Asian Perspectives, 44(1), 90–106. https://doi.org/10.1353/asi.2005.0004",45.672,43.397
Gua Niah,Malaysia,Sarawak,Niah-311,Calibrated,Radiocarbon age,,,41.8,800.0,"Hunt, C. O., Gilbertson, D. D., & Rushworth, G. (2007). Modern humans in Sarawak, Malaysian Borneo, during Oxygen Isotope Stage 3: palaeoenvironmental evidence from the Great Cave of Niah. Journal of Archaeological Science, 34(11), 1953–1969. https://doi.org/10.1016/j.jas.2007.02.023",45.961,43.206
Gua Niah,Malaysia,Sarawak,OxA-15164,Calibrated,Radiocarbon age,,,41.648,163.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",44.816,44.218
Gua Niah,Malaysia,Sarawak,OxA-V-2076-16,Calibrated,Radiocarbon age,,,41.179,199.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",44.597,43.436
Gua Niah,Malaysia,Sarawak,OxA-15126,Calibrated,Radiocarbon age,,,40.498,564.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",44.485,42.854
Gua Niah,Malaysia,Sarawak,OxA-15126,Calibrated,Radiocarbon age,,,40.498,562.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",44.484,42.855
Gua Niah,Malaysia,Sarawak,Niah-312,Calibrated,Radiocarbon age,,,40.1,580.0,"Barker, G. (2005). The archaeology of foraging and farming at Niah Cave, Sarawak. Asian Perspectives, 44(1), 90–106. https://doi.org/10.1353/asi.2005.0004",44.334,42.658
Gua Niah,Malaysia,Sarawak,OxA-15622,Calibrated,Radiocarbon age,,,39.431,450.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",43.865,42.392
Gua Niah,Malaysia,Sarawak,OxA-11302,Calibrated,Radiocarbon age,,,38.781,690.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",43.86,42.013
Gua Niah,Malaysia,Sarawak,OxA-15624,Calibrated,Radiocarbon age,,,38.781,690.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",43.86,42.013
Gua Niah,Malaysia,Sarawak,OxA-11303,Calibrated,Radiocarbon age,,,34.028,501.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",40.346,37.528
Gua Niah,Malaysia,Sarawak,OxA-13938,Calibrated,Radiocarbon age,,,32.6,210.0,"Climate, Dispersal and Technological Change during the Last Termination and Early Holocene in Southeast Asia. In Human Adaptation in the Asian Palaeolithic (pp. 142–207). Cambridge University Press. https://doi.org/10.1017/cbo9781139087582.006",37.508,36.398
Gua Niah,Malaysia,Sarawak,OxA-11302,Calibrated,Radiocarbon age,,,29.07,330.0,"Barker, G. (2005). The archaeology of foraging and farming at Niah Cave, Sarawak. Asian Perspectives, 44(1), 90–106. https://doi.org/10.1353/asi.2005.0004",34.341,32.277
Gua Niah,Malaysia,Sarawak,OxA-11304,Calibrated,Radiocarbon age,,,27.96,200.0,"Barker, G. (2005). The archaeology of foraging and farming at Niah Cave, Sarawak. Asian Perspectives, 44(1), 90–106. https://doi.org/10.1353/asi.2005.0004",32.859,31.403
Gua Niah,Malaysia,Sarawak,OxA-V-2077-7,Calibrated,Radiocarbon age,,,21.187,98.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",25.76,25.254
Gua Niah,Malaysia,Sarawak,OxA-11550,Calibrated,Radiocarbon age,,,19.65,90.0,"Barker, G. (2005). The archaeology of foraging and farming at Niah Cave, Sarawak. Asian Perspectives, 44(1), 90–106. https://doi.org/10.1353/asi.2005.0004",23.851,23.346
Gua Niah,Malaysia,Sarawak,OxA-15627,Calibrated,Radiocarbon age,,,18.631,54.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",22.808,22.376
Gua Niah,Malaysia,Sarawak,OxA-15162,Calibrated,Radiocarbon age,,,13.745,55.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",16.91,16.43
Gua Niah,Malaysia,Sarawak,OxA-15162,Calibrated,Radiocarbon age,,,13.745,55.0,"Climate, Dispersal and Technological Change during the Last Termination and Early Holocene in Southeast Asia. In Human Adaptation in the Asian Palaeolithic (pp. 142–207). Cambridge University Press. https://doi.org/10.1017/cbo9781139087582.006",16.91,16.43
Gua Niah,Malaysia,Sarawak,GrN-7203,Calibrated,Radiocarbon age,,,13.64,130.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",16.954,16.116
Gua Niah,Malaysia,Sarawak,OxA-13936,Calibrated,Radiocarbon age,,,12.5,50.0,"Climate, Dispersal and Technological Change during the Last Termination and Early Holocene in Southeast Asia. In Human Adaptation in the Asian Palaeolithic (pp. 142–207). Cambridge University Press. https://doi.org/10.1017/cbo9781139087582.006",15.035,14.341
Gua Niah,Malaysia,Sarawak,N-1334,Calibrated,Radiocarbon age,,,10.6,510.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",13.593,10.875
Gua Niah,Malaysia,Sarawak,N-1334,Calibrated,Radiocarbon age,,,10.6,510.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",13.593,10.875
Gua Niah,Malaysia,Sarawak,N-1334,Calibrated,Radiocarbon age,,,10.6,510.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",13.593,10.875
Gua Niah,Malaysia,Sarawak,OxA-13939,Calibrated,Radiocarbon age,,,10.45,45.0,"Climate, Dispersal and Technological Change during the Last Termination and Early Holocene in Southeast Asia. In Human Adaptation in the Asian Palaeolithic (pp. 142–207). Cambridge University Press. https://doi.org/10.1017/cbo9781139087582.006",12.616,12.101
Gua Niah,Malaysia,Sarawak,OxA-11865,Calibrated,Radiocarbon age,,,10.0,55.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",11.734,11.268
Gua Niah,Malaysia,Sarawak,OxA-11865,Calibrated,Radiocarbon age,,,10.0,55.0,"Barker, G. (2005). The archaeology of foraging and farming at Niah Cave, Sarawak. Asian Perspectives, 44(1), 90–106. https://doi.org/10.1353/asi.2005.0004",11.734,11.268
Gua Niah,Malaysia,Sarawak,OxA-15157,Calibrated,Radiocarbon age,,,9.995,40.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",11.693,11.272
Gua Niah,Malaysia,Sarawak,OxA-15157,Calibrated,Radiocarbon age,,,9.995,40.0,"Climate, Dispersal and Technological Change during the Last Termination and Early Holocene in Southeast Asia. In Human Adaptation in the Asian Palaeolithic (pp. 142–207). Cambridge University Press. https://doi.org/10.1017/cbo9781139087582.006",11.693,11.272
Gua Niah,Malaysia,Sarawak,OxA-11549,Calibrated,Radiocarbon age,,,9.562,37.0,"Barker, G., Barton, H., Bird, M., Daly, P., Datan, I., Dykes, A., Farr, L., Gilbertson, D., Harrisson, B., Hunt, C., Higham, T., Kealhofer, L., Krigbaum, J., Lewis, H., McLaren, S., Paz, V., Pike, A., Piper, P., Pyatt, B., … Turney, C. (2007). The “human revolution” in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo). Journal of Human Evolution, 52(3), 243–261. https://doi.org/10.1016/j.jhevol.2006.08.011",11.095,10.723
Gua Niah,Malaysia,Sarawak,OxA-12391,Calibrated,Radiocarbon age,,,9.56,60.0,"Climate, Dispersal and Technological Change during the Last Termination and Early Holocene in Southeast Asia. In Human Adaptation in the Asian Palaeolithic (pp. 142–207). Cambridge University Press. https://doi.org/10.1017/cbo9781139087582.006",11.155,10.697
Gua Niah,Malaysia,Sarawak,OxA-12391,Calibrated,Radiocarbon age,,,9.56,60.0,"Barker, G. (2005). The archaeology of foraging and farming at Niah Cave, Sarawak. Asian Perspectives, 44(1), 90–106. https://doi.org/10.1353/asi.2005.0004",11.155,10.697
Gua Niah,Malaysia,Sarawak,OxA-11549,Calibrated,Radiocarbon age,,,8.63,45.0,"Barker, G. (2005). The archaeology of foraging and farming at Niah Cave, Sarawak. Asian Perspectives, 44(1), 90–106. https://doi.org/10.1353/asi.2005.0004",9.696,9.53
Gua Niah,Malaysia,Sarawak,OxA-11864,Calibrated,Radiocarbon age,,,8.005,50.0,"Climate, Dispersal and Technological Change during the Last Termination and Early Holocene in Southeast Asia. In Human Adaptation in the Asian Palaeolithic (pp. 142–207). Cambridge University Press. https://doi.org/10.1017/cbo9781139087582.006",9.011,8.649
Gua Niah,Malaysia,Sarawak,OxA-11864,Calibrated,Radiocarbon age,,,8.005,50.0,"Barker, G. (2005). The archaeology of foraging and farming at Niah Cave, Sarawak. Asian Perspectives, 44(1), 90–106. https://doi.org/10.1353/asi.2005.0004",9.011,8.649
Gua Niah,Malaysia,Sarawak,N-1357,Calibrated,Radiocarbon age,,,7.85,175.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",9.258,8.342
Gua Niah,Malaysia,Sarawak,N-1357,Calibrated,Radiocarbon age,,,7.85,175.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",9.258,8.342
Gua Niah,Malaysia,Sarawak,OxA-15161,Calibrated,Radiocarbon age,,,7.606,35.0,"Climate, Dispersal and Technological Change during the Last Termination and Early Holocene in Southeast Asia. In Human Adaptation in the Asian Palaeolithic (pp. 142–207). Cambridge University Press. https://doi.org/10.1017/cbo9781139087582.006",8.511,8.35
Gua Niah,Malaysia,Sarawak,N-1346,Calibrated,Radiocarbon age,,,7.14,165.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",8.325,7.671
Gua Niah,Malaysia,Sarawak,Beta-193909,Calibrated,Radiocarbon age,,,5.71,80.0,"Climate, Dispersal and Technological Change during the Last Termination and Early Holocene in Southeast Asia. In Human Adaptation in the Asian Palaeolithic (pp. 142–207). Cambridge University Press. https://doi.org/10.1017/cbo9781139087582.006",6.67,6.311
Gua Niah,Malaysia,Sarawak,OxA-14026,Calibrated,Radiocarbon age,,,4.216,26.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",4.85,4.646
Gua Niah,Malaysia,Sarawak,OxA-14026,Calibrated,Radiocarbon age,,,4.216,29.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",4.852,4.626
