Site,Country,Province,Lab label,Comm,Dating meth,Age dated,Age dated std dev,Age dated_2,Age dated std dev_2,Reference,Cal age max,Cal age min
Bario,Malaysia,Sarawak,UBA-15637,Uncalibrated,Radiocarbon age,1.433,23.0,,,"Jones, S. E., Barton, H., Hunt, C. O., Janowski, M., Lloyd-Smith, L., & Barker, G. (2016). The cultural antiquity of rainforests: Human–plant associations during the mid-late Holocene in the interior highlands of Sarawak, Malaysian Borneo. Quaternary International, 416, 80–94. https://doi.org/10.1016/j.quaint.2015.11.024",1.357,1.296
Bario,Malaysia,Sarawak,UBA-15637,Uncalibrated,Radiocarbon age,1.433,23.0,,,"Jones, S. E., Barton, H., Hunt, C. O., Janowski, M., Lloyd-Smith, L., & Barker, G. (2016). The cultural antiquity of rainforests: Human–plant associations during the mid-late Holocene in the interior highlands of Sarawak, Malaysian Borneo. Quaternary International, 416, 80–94. https://doi.org/10.1016/j.quaint.2015.11.024; Jones, S. E., Hunt, C., & Reimer, P. J. (2013). A 2300 yr record of sago and rice use from the southern Kelabit Highlands of Sarawak, Malaysian Borneo. Holocene, 23(5), 708–720. https://doi.org/10.1177/0959683612470180",1.357,1.296
Bario,Malaysia,Sarawak,UBA-15637,Uncalibrated,Radiocarbon age,1.433,23.0,,,"Barker, G., Hunt, C., Barton, H., Gosden, C., Jones, S., Lloyd-Smith, L., Farr, L., Nyirí, B., & O’Donnell, S. (2017). The ‘cultured rainforests’ of Borneo. Quaternary International, 448, 44–61. https://doi.org/10.1016/j.quaint.2016.08.018",1.357,1.296
Batu Supu,Malaysia,Sabah,Beta-227947,Uncalibrated,Radiocarbon age,1.1,40.0,,,"Shuhaimi, N. H., bin Ramli, Z., Sauman Sabin, Y., & Jusoh, A. (2016). Kaedah analisis keranda kayu balak di Sabah dan pentarikhannya Prehistoric burial practices in Malaysia View project Motif Hiasan gendang gangsa di Malaysia View project. https://www.researchgate.net/publication/305225954",1.176,0.926
Batu Supu,Malaysia,Sabah,Beta-227950,Uncalibrated,Radiocarbon age,1.03,50.0,,,"Shuhaimi, N. H., bin Ramli, Z., Sauman Sabin, Y., & Jusoh, A. (2016). Kaedah analisis keranda kayu balak di Sabah dan pentarikhannya Prehistoric burial practices in Malaysia View project Motif Hiasan gendang gangsa di Malaysia View project. https://www.researchgate.net/publication/305225954",1.059,0.794
Batu Supu,Malaysia,Sabah,Beta-227948,Uncalibrated,Radiocarbon age,0.89,40.0,,,"Shuhaimi, N. H., bin Ramli, Z., Sauman Sabin, Y., & Jusoh, A. (2016). Kaedah analisis keranda kayu balak di Sabah dan pentarikhannya Prehistoric burial practices in Malaysia View project Motif Hiasan gendang gangsa di Malaysia View project. https://www.researchgate.net/publication/305225954",0.914,0.725
Batu Supu,Malaysia,Sabah,Beta-227946,Uncalibrated,Radiocarbon age,0.88,40.0,,,"Shuhaimi, N. H., bin Ramli, Z., Sauman Sabin, Y., & Jusoh, A. (2016). Kaedah analisis keranda kayu balak di Sabah dan pentarikhannya Prehistoric burial practices in Malaysia View project Motif Hiasan gendang gangsa di Malaysia View project. https://www.researchgate.net/publication/305225954",0.91,0.692
Batu Supu,Malaysia,Sabah,Beta-227949,Uncalibrated,Radiocarbon age,0.72,40.0,,,"Shuhaimi, N. H., bin Ramli, Z., Sauman Sabin, Y., & Jusoh, A. (2016). Kaedah analisis keranda kayu balak di Sabah dan pentarikhannya Prehistoric burial practices in Malaysia View project Motif Hiasan gendang gangsa di Malaysia View project. https://www.researchgate.net/publication/305225954",0.726,0.563
Batu Supu,Malaysia,Sabah,Beta-227951,Uncalibrated,Radiocarbon age,0.64,40.0,,,"Shuhaimi, N. H., bin Ramli, Z., Sauman Sabin, Y., & Jusoh, A. (2016). Kaedah analisis keranda kayu balak di Sabah dan pentarikhannya Prehistoric burial practices in Malaysia View project Motif Hiasan gendang gangsa di Malaysia View project. https://www.researchgate.net/publication/305225954",0.666,0.553
Batu Tulug,Malaysia,Sabah,Beta-227953,Uncalibrated,Radiocarbon age,0.98,40.0,,,"Shuhaimi, N. H., bin Ramli, Z., Sauman Sabin, Y., & Jusoh, A. (2016). Kaedah analisis keranda kayu balak di Sabah dan pentarikhannya Prehistoric burial practices in Malaysia View project Motif Hiasan gendang gangsa di Malaysia View project. https://www.researchgate.net/publication/305225954",0.956,0.791
Batu Tulug,Malaysia,Sabah,Beta-227955,Uncalibrated,Radiocarbon age,0.92,60.0,,,"Shuhaimi, N. H., bin Ramli, Z., Sauman Sabin, Y., & Jusoh, A. (2016). Kaedah analisis keranda kayu balak di Sabah dan pentarikhannya Prehistoric burial practices in Malaysia View project Motif Hiasan gendang gangsa di Malaysia View project. https://www.researchgate.net/publication/305225954",0.953,0.695
Batu Tulug,Malaysia,Sabah,Beta-227954,Uncalibrated,Radiocarbon age,0.88,60.0,,,"Shuhaimi, N. H., bin Ramli, Z., Sauman Sabin, Y., & Jusoh, A. (2016). Kaedah analisis keranda kayu balak di Sabah dan pentarikhannya Prehistoric burial practices in Malaysia View project Motif Hiasan gendang gangsa di Malaysia View project. https://www.researchgate.net/publication/305225954",0.914,0.688
Batu Tulug,Malaysia,Sabah,Beta-131330,Uncalibrated,Radiocarbon age,0.69,50.0,,,"Shuhaimi, N. H., bin Ramli, Z., Sauman Sabin, Y., & Jusoh, A. (2016). Kaedah analisis keranda kayu balak di Sabah dan pentarikhannya Prehistoric burial practices in Malaysia View project Motif Hiasan gendang gangsa di Malaysia View project. https://www.researchgate.net/publication/305225954",0.718,0.553
Batu Tulug,Malaysia,Sabah,Beta-227952,Uncalibrated,Radiocarbon age,0.67,40.0,,,"Shuhaimi, N. H., bin Ramli, Z., Sauman Sabin, Y., & Jusoh, A. (2016). Kaedah analisis keranda kayu balak di Sabah dan pentarikhannya Prehistoric burial practices in Malaysia View project Motif Hiasan gendang gangsa di Malaysia View project. https://www.researchgate.net/publication/305225954",0.677,0.555
Bukit Kamiri,Malaysia,Sabah,chia2,Uncalibrated,Radiocarbon age,3.3,,,,"Chia, S. (2003). Archaeological Research at Bukit Sarang Caves, Ulu Kakus, Sarawak.",3.562,3.469
Bukit Kamiri,Malaysia,Sabah,chia3,Uncalibrated,Radiocarbon age,2.0,,,,"Chia, S. (2003). Archaeological Research at Bukit Sarang Caves, Ulu Kakus, Sarawak.",1.99,1.89
Bukit Sarang,Malaysia,Sarawak,Beta-162654,Uncalibrated,Radiocarbon age,2.77,40.0,,,"Chia, S. (2003). Archaeological Research at Bukit Sarang Caves, Ulu Kakus, Sarawak.",2.959,2.772
Bukit Sarang,Malaysia,Sarawak,Beta-162653,Uncalibrated,Radiocarbon age,2.58,80.0,,,"Chia, S. (2003). Archaeological Research at Bukit Sarang Caves, Ulu Kakus, Sarawak.",2.849,2.371
