Height,Date/Time,Date/time end,Time min,dN/dlogDp(92.87),dN/dlogDp(98.89),dN/dlogDp(105.29),dN/dlogDp(112.11),dN/dlogDp(119.38),dN/dlogDp(127.11),dN/dlogDp(135.34),dN/dlogDp(144.11),dN/dlogDp(153.45),dN/dlogDp(163.39),dN/dlogDp(173.97),dN/dlogDp(185.24),dN/dlogDp(197.25),dN/dlogDp(210.03),dN/dlogDp(223.63),dN/dlogDp(238.12),dN/dlogDp(253.55),dN/dlogDp(269.97),dN/dlogDp(287.46),dN/dlogDp(306.08),dN/dlogDp(325.91),dN/dlogDp(347.02),dN/dlogDp(369.51),dN/dlogDp(393.45),dN/dlogDp(418.93),dN/dlogDp(446.08),dN/dlogDp(474.98),dN/dlogDp(505.75),dN/dlogDp(538.51),dN/dlogDp(573.40),dN/dlogDp(610.54),dN/dlogDp(650.09),dN/dlogDp(692.21),dN/dlogDp(737.05),dN/dlogDp(784.80),dN/dlogDp(835.64),dN/dlogDp(889.78),dN/dlogDp(947.42),dN/dlogDp(1008.8),dN/dlogDp(1074.15),dN/dlogDp(1143.74),dN/dlogDp(1217.84),dN/dlogDp(1296.74),dN/dlogDp(1380.74),dN/dlogDp(1470.19),dN/dlogDp(1565.43),dN/dlogDp(1666.85),dN/dlogDp(1774.83),dN/dlogDp(1889.81),dN/dlogDp(2012.24),dN/dlogDp(2142.60),dN/dlogDp(2281.41),dN/dlogDp(2429.21),dN/dlogDp(2586.58),dN/dlogDp(2754.15),dN/dlogDp(2932.57),dN/dlogDp(3122.55),dN/dlogDp(3324.84),dN/dlogDp(3540.24),dN/dlogDp(3769.59),dN/dlogDp(4013.80),dN/dlogDp(4273.82),dN/dlogDp(4550.70),dN/dlogDp(4845.51),Event,Latitude,Longitude,Elevation
7,2018-01-01 00:25:00,2018-01-01T01:30,65,258.84,312.68,370.69,415.6,459.0,504.88,552.84,596.7,634.84,636.31,602.42,543.07,461.29,377.21,309.63,245.01,179.61,122.31,79.14,45.13,29.46,18.03,10.93,6.65,3.22,1.79,1.85,1.95,1.46,1.12,0.78,0.76,0.43,0.29,0.35,0.23,0.25,0.31,0.11,0.01,0.08,0.01,0.04,0.01,0.06,0.02,0.02,0.0,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 01:30:00,2018-01-01T02:30,60,261.96,301.62,344.94,388.06,422.31,460.01,500.59,555.76,601.16,609.25,600.37,563.65,514.6,423.61,341.32,256.76,177.22,114.18,69.49,41.25,24.44,16.9,13.14,8.96,5.37,2.99,3.05,2.73,2.86,2.37,2.17,1.44,1.34,0.86,0.55,0.6,0.57,0.62,0.17,0.09,0.17,0.07,0.09,0.06,0.07,0.01,0.15,0.16,0.07,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 02:30:00,2018-01-01T03:25,55,192.49,229.84,270.94,309.11,362.36,418.83,484.16,550.12,599.53,629.16,625.63,602.57,563.78,481.69,399.47,304.22,213.57,131.72,78.73,46.54,28.71,18.04,13.13,9.92,5.28,3.21,3.07,3.03,3.37,2.79,1.82,1.64,1.2,0.96,0.68,0.64,0.59,0.71,0.32,0.1,0.07,0.15,0.07,0.1,0.17,0.05,0.2,0.08,0.07,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 03:25:00,2018-01-01T04:30,65,226.19,279.49,326.73,361.96,401.6,439.89,489.42,533.3,567.32,587.1,570.42,539.23,504.19,429.98,362.4,285.61,200.9,130.99,79.34,47.68,26.26,17.19,11.86,7.96,4.52,2.4,2.3,2.4,2.51,2.3,1.32,1.23,1.15,0.79,0.59,0.7,0.51,0.49,0.21,0.11,0.12,0.07,0.09,0.06,0.1,0.04,0.15,0.12,0.06,0.04,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 04:30:00,2018-01-01T05:30,60,288.94,347.69,388.85,424.27,448.14,473.51,486.66,505.33,516.43,499.98,466.26,424.5,388.08,325.8,266.81,206.85,148.45,95.32,59.34,35.71,20.34,12.88,9.82,6.36,3.53,2.14,2.12,2.36,1.96,2.05,1.3,1.28,0.94,0.41,0.62,0.52,0.46,0.53,0.33,0.15,0.15,0.09,0.04,0.12,0.05,0.07,0.09,0.1,0.06,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 05:30:00,2018-01-01T06:25,55,373.91,412.29,419.46,411.53,416.97,423.08,438.23,441.64,434.26,417.01,380.06,344.12,303.55,245.88,194.86,144.91,100.79,64.89,39.9,22.93,14.17,10.83,8.4,6.51,3.12,2.07,2.08,1.96,2.2,2.02,1.45,1.29,1.0,1.04,0.53,0.55,0.49,0.63,0.3,0.16,0.14,0.12,0.09,0.09,0.07,0.06,0.19,0.07,0.06,0.05,0.05,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 06:25:00,2018-01-01T07:25,60,405.37,444.75,444.75,435.35,427.1,423.45,426.29,424.04,422.35,389.36,351.41,307.63,262.71,208.24,157.87,113.82,76.07,48.81,29.92,17.5,11.81,8.86,7.95,6.13,3.18,2.02,2.13,2.15,2.19,1.83,1.32,1.37,1.02,0.75,0.63,0.79,0.7,0.7,0.37,0.14,0.11,0.14,0.1,0.13,0.12,0.06,0.11,0.16,0.06,0.05,0.02,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 07:25:00,2018-01-01T08:25,60,403.23,438.39,442.29,423.13,414.67,408.88,401.16,396.66,384.07,358.11,321.84,279.08,234.57,179.66,132.82,94.22,61.51,39.43,24.07,13.63,8.95,7.12,6.57,4.68,2.77,1.94,1.98,1.93,1.74,1.49,1.4,1.19,0.95,0.76,0.72,0.64,0.54,0.73,0.42,0.09,0.07,0.07,0.14,0.09,0.17,0.05,0.16,0.07,0.15,0.04,0.09,0.06,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 08:25:00,2018-01-01T09:25,60,403.5,414.87,411.58,389.39,370.77,353.04,341.93,326.33,303.33,275.53,243.56,208.74,168.39,128.32,93.81,67.04,42.48,27.38,16.51,9.74,7.24,5.49,5.06,4.55,2.74,1.37,1.55,1.52,1.45,1.17,0.81,0.84,0.64,0.47,0.4,0.49,0.52,0.51,0.29,0.02,0.12,0.14,0.04,0.1,0.09,0.03,0.07,0.09,0.05,0.04,0.05,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 09:25:00,2018-01-01T10:30,65,400.87,399.43,385.06,361.89,348.84,331.54,314.58,298.72,277.78,244.85,212.36,181.55,145.77,107.21,75.76,51.34,32.57,20.1,13.4,7.9,5.71,4.71,4.1,3.74,2.27,1.01,1.23,1.32,1.43,1.13,1.08,0.75,0.69,0.43,0.31,0.32,0.46,0.48,0.2,0.06,0.11,0.06,0.05,0.1,0.06,0.04,0.11,0.04,0.1,0.05,0.04,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 10:30:00,2018-01-01T11:30,60,393.9,386.67,365.39,338.9,327.38,317.95,310.42,300.34,287.34,265.96,243.08,221.32,188.28,148.37,105.42,70.01,42.56,25.46,15.24,7.38,6.18,5.01,4.17,3.68,1.96,1.11,1.12,0.99,1.18,1.06,0.8,0.7,0.38,0.4,0.27,0.37,0.31,0.37,0.1,0.05,0.08,0.05,0.07,0.07,0.02,0.01,0.03,0.05,0.05,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 11:30:00,2018-01-01T12:25,55,368.53,363.78,344.6,321.74,304.73,299.01,294.97,288.98,281.4,261.35,247.15,225.88,199.46,161.67,119.87,75.74,44.6,26.75,15.21,7.92,6.54,5.21,4.31,3.75,2.18,1.28,1.33,1.0,0.91,0.89,0.81,0.54,0.44,0.28,0.23,0.27,0.27,0.24,0.11,0.04,0.06,0.04,0.0,0.02,0.04,0.01,0.02,0.06,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 12:25:00,2018-01-01T13:25,60,365.08,332.78,312.03,284.92,273.89,262.41,259.0,253.8,254.16,239.67,225.25,208.14,182.34,142.2,106.6,68.87,41.87,23.43,14.26,7.19,6.3,4.15,3.94,3.18,1.86,1.05,1.21,1.06,0.88,0.63,0.52,0.38,0.3,0.2,0.17,0.21,0.34,0.2,0.1,0.04,0.01,0.01,0.06,0.03,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 13:25:00,2018-01-01T14:25,60,487.09,428.09,375.16,347.21,318.38,296.24,275.14,265.15,264.09,258.63,254.69,241.86,227.74,191.28,144.4,93.52,51.74,28.78,16.87,8.7,6.72,5.51,5.28,4.48,2.56,1.56,1.66,1.23,1.54,1.14,0.86,0.57,0.55,0.37,0.33,0.3,0.24,0.4,0.2,0.05,0.01,0.1,0.05,0.05,0.01,0.08,0.1,0.02,0.02,0.0,0.04,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 14:25:00,2018-01-01T15:25,60,559.31,587.39,531.62,444.07,383.32,331.54,297.15,283.25,277.59,279.55,281.04,285.5,278.7,244.73,202.84,148.01,93.75,56.47,34.5,19.82,13.29,9.22,7.27,5.22,2.68,1.66,1.58,1.56,1.64,1.26,1.01,0.75,0.53,0.38,0.42,0.3,0.33,0.33,0.16,0.04,0.09,0.04,0.05,0.06,0.05,0.04,0.14,0.04,0.04,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 15:25:00,2018-01-01T16:30,65,453.16,480.25,473.89,438.94,401.52,366.77,345.01,334.58,318.89,293.42,282.92,269.66,261.0,242.53,212.9,175.78,120.86,78.23,47.36,33.88,18.57,13.25,9.7,6.79,3.52,2.09,1.91,1.86,2.2,1.66,1.23,1.01,0.72,0.58,0.52,0.44,0.42,0.48,0.16,0.1,0.09,0.1,0.06,0.07,0.06,0.05,0.15,0.14,0.07,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 16:30:00,2018-01-01T17:30,60,345.95,379.78,417.56,420.43,413.33,395.08,388.05,376.16,360.65,328.0,289.38,274.97,273.12,271.93,277.79,246.49,167.37,92.21,49.41,30.06,14.23,10.44,7.74,6.24,3.19,2.06,2.15,2.08,2.59,1.92,1.54,0.85,0.84,0.74,0.65,0.48,0.52,0.6,0.3,0.12,0.13,0.11,0.07,0.1,0.12,0.06,0.12,0.16,0.05,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 17:30:00,2018-01-01T18:25,55,341.71,368.56,387.59,393.72,381.24,377.47,365.37,351.0,325.52,288.52,257.8,241.3,244.6,254.51,264.73,246.13,174.73,101.06,55.23,32.58,16.18,10.77,8.66,5.82,3.22,1.88,1.94,2.25,1.94,1.55,1.29,1.16,0.74,0.65,0.58,0.69,0.39,0.54,0.25,0.1,0.09,0.07,0.04,0.11,0.04,0.06,0.12,0.04,0.04,0.0,0.04,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 18:25:00,2018-01-01T19:30,65,279.88,319.62,356.53,396.84,435.55,464.08,480.11,485.26,477.6,449.57,406.08,373.12,354.46,333.39,300.51,231.36,146.03,83.93,48.27,32.45,16.18,11.39,9.45,6.78,3.69,2.15,2.08,1.97,2.08,1.66,1.43,1.11,1.08,0.68,0.55,0.57,0.49,0.64,0.19,0.12,0.14,0.11,0.16,0.08,0.02,0.01,0.13,0.12,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 19:30:00,2018-01-01T20:30,60,258.44,305.47,314.27,314.74,355.96,431.51,506.45,561.44,595.27,601.68,590.19,580.01,544.91,476.99,397.86,291.46,188.97,111.48,59.6,42.36,20.25,15.05,11.06,8.02,4.25,2.24,2.76,2.55,2.4,1.9,1.7,1.21,1.2,0.95,0.69,0.57,0.79,0.63,0.26,0.1,0.13,0.06,0.04,0.08,0.17,0.1,0.2,0.11,0.03,0.05,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 20:30:00,2018-01-01T21:25,55,210.47,259.06,292.81,298.62,313.0,374.09,476.12,564.67,632.06,691.26,711.4,692.71,654.22,552.78,440.96,311.57,197.5,115.62,64.16,44.55,22.29,15.11,12.71,9.49,5.18,2.83,3.35,2.88,3.36,2.99,2.12,1.98,1.69,1.18,1.05,0.84,0.83,1.18,0.58,0.16,0.18,0.17,0.22,0.1,0.11,0.08,0.32,0.11,0.11,0.12,0.07,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 21:25:00,2018-01-01T22:30,65,161.17,216.1,299.42,378.21,421.42,454.95,496.14,542.08,580.48,626.79,617.41,605.92,565.06,472.87,353.98,231.06,135.36,76.02,42.9,29.28,14.94,10.47,8.42,7.43,4.74,2.77,2.83,2.74,2.71,2.75,1.88,1.9,1.54,1.11,0.81,0.81,0.96,0.88,0.36,0.2,0.06,0.09,0.19,0.2,0.08,0.14,0.24,0.18,0.09,0.09,0.05,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 22:30:00,2018-01-01T23:30,60,264.58,306.48,359.5,405.47,439.41,465.44,487.82,508.43,512.33,513.21,481.74,449.42,400.62,319.12,232.32,150.52,89.74,52.11,29.95,21.15,10.85,8.71,7.44,6.93,3.96,2.38,2.49,2.26,2.58,2.25,2.24,1.65,1.47,1.08,0.63,0.74,0.8,0.84,0.42,0.16,0.12,0.15,0.15,0.12,0.04,0.11,0.22,0.21,0.1,0.06,0.04,0.02,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 23:30:00,2018-01-02T00:25,55,411.12,437.74,447.65,440.46,424.2,409.1,383.23,360.8,323.26,293.14,243.23,201.68,160.74,116.76,85.58,58.35,39.21,23.55,14.63,11.46,6.56,5.49,5.7,5.2,2.91,1.8,1.9,1.74,1.61,1.55,1.39,0.92,1.01,0.53,0.46,0.71,0.62,0.56,0.32,0.12,0.03,0.03,0.13,0.13,0.06,0.04,0.09,0.15,0.04,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 00:25:00,2018-01-02T01:30,65,390.96,446.07,474.29,475.22,479.36,468.97,440.97,409.5,368.28,326.91,275.37,223.37,172.7,125.26,88.78,58.55,37.68,23.35,15.02,11.56,6.56,5.56,5.53,4.9,2.64,1.79,1.76,1.62,1.8,1.17,1.19,1.06,0.81,0.52,0.46,0.59,0.55,0.47,0.2,0.11,0.08,0.15,0.06,0.09,0.09,0.07,0.16,0.16,0.04,0.05,0.03,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 01:30:00,2018-01-02T02:30,60,377.73,410.02,432.71,426.11,438.12,422.55,407.61,382.92,344.06,302.97,250.34,203.74,154.0,108.34,77.02,51.31,33.65,21.18,13.5,10.14,6.02,4.61,4.5,4.59,2.25,1.53,1.48,1.32,1.43,1.44,1.0,0.68,0.66,0.44,0.29,0.47,0.49,0.38,0.16,0.1,0.11,0.05,0.09,0.09,0.12,0.07,0.11,0.09,0.07,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 02:30:00,2018-01-02T03:25,55,357.2,393.34,425.25,434.07,429.54,429.82,413.48,393.28,352.15,307.9,245.5,191.7,144.71,100.8,72.86,48.96,32.65,20.03,12.69,10.71,6.24,4.69,4.85,4.2,2.17,1.63,1.55,1.49,1.3,1.19,1.15,0.91,0.68,0.53,0.41,0.32,0.43,0.41,0.22,0.05,0.14,0.11,0.1,0.15,0.07,0.06,0.15,0.06,0.12,0.02,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 03:25:00,2018-01-02T04:30,65,358.89,408.23,443.9,452.87,455.12,453.73,440.56,419.16,378.42,336.85,277.26,218.43,171.57,123.97,87.73,58.25,38.08,23.4,14.98,10.4,6.25,5.12,5.24,4.41,2.62,1.82,1.41,1.51,1.17,1.5,1.15,0.9,0.7,0.64,0.48,0.39,0.49,0.52,0.24,0.1,0.07,0.06,0.15,0.11,0.05,0.07,0.2,0.07,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 04:30:00,2018-01-02T05:30,60,385.47,434.97,460.9,460.86,451.56,436.92,413.77,387.47,347.72,302.31,239.43,186.4,139.31,100.91,69.99,48.38,32.76,20.44,13.1,10.35,6.02,5.25,4.74,4.16,2.55,1.42,1.35,1.6,1.59,1.48,1.09,0.67,0.74,0.47,0.4,0.38,0.43,0.44,0.18,0.05,0.1,0.04,0.09,0.1,0.05,0.09,0.11,0.14,0.05,0.05,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 05:30:00,2018-01-02T06:25,55,309.18,364.09,407.12,422.85,430.82,432.1,420.43,403.36,367.12,331.48,274.17,225.8,181.25,137.87,102.77,73.84,47.3,28.84,16.26,12.45,6.17,5.32,5.08,3.69,2.23,1.34,1.1,1.37,1.38,1.02,0.81,0.53,0.46,0.44,0.34,0.27,0.27,0.3,0.11,0.02,0.04,0.01,0.08,0.05,0.05,0.0,0.15,0.12,0.05,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 06:25:00,2018-01-02T07:30,65,248.54,298.86,341.6,374.25,392.65,400.42,418.32,417.93,407.5,386.8,337.06,287.27,238.75,192.38,158.81,123.54,84.98,50.87,24.9,16.57,8.37,5.64,4.8,4.1,2.23,1.17,1.33,1.02,1.32,0.98,0.62,0.57,0.69,0.37,0.25,0.28,0.29,0.17,0.18,0.06,0.02,0.01,0.03,0.05,0.02,0.05,0.05,0.1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 07:30:00,2018-01-02T08:30,60,227.5,266.45,299.45,328.36,352.03,374.75,400.06,411.88,409.07,393.81,352.69,310.17,266.26,214.18,178.22,138.43,95.92,57.76,29.95,19.36,8.38,5.76,5.11,3.68,2.27,1.02,1.28,1.05,0.97,1.07,0.74,0.65,0.53,0.36,0.3,0.23,0.32,0.29,0.2,0.02,0.04,0.05,0.02,0.07,0.04,0.06,0.06,0.06,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 08:30:00,2018-01-02T09:25,55,305.84,341.07,360.56,360.3,360.32,361.86,360.74,360.95,344.11,323.83,290.76,259.95,230.15,195.55,168.13,131.31,90.63,54.85,30.88,20.58,9.75,6.61,4.69,3.69,1.75,1.19,1.12,1.13,0.94,0.86,0.64,0.58,0.41,0.43,0.27,0.25,0.28,0.24,0.12,0.07,0.02,0.06,0.02,0.04,0.04,0.0,0.11,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 09:25:00,2018-01-02T10:25,60,376.79,394.49,394.73,379.35,363.79,347.7,335.57,320.26,306.2,301.96,265.42,236.69,211.06,184.3,168.39,147.95,111.61,70.41,40.39,25.76,12.38,7.79,5.91,3.66,1.92,1.16,0.83,0.96,1.15,0.79,0.67,0.51,0.38,0.29,0.32,0.16,0.27,0.21,0.2,0.07,0.05,0.06,0.02,0.02,0.05,0.02,0.06,0.07,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 10:25:00,2018-01-02T11:25,60,393.43,399.13,394.88,376.19,360.57,345.05,328.55,311.96,291.61,270.2,232.02,201.22,171.63,142.44,117.75,97.18,71.62,45.15,25.86,18.54,8.38,6.19,4.82,2.99,2.1,1.4,1.28,1.18,0.95,1.01,0.78,0.78,0.62,0.49,0.36,0.3,0.48,0.38,0.15,0.03,0.05,0.02,0.05,0.04,0.04,0.04,0.15,0.07,0.03,0.04,0.03,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 11:25:00,2018-01-02T12:25,60,406.11,412.75,394.32,368.23,345.09,317.19,289.8,264.07,241.79,210.05,175.98,141.3,110.82,81.62,62.72,44.54,30.75,19.79,12.49,9.92,6.21,4.69,4.61,4.06,2.31,1.18,1.55,1.43,1.14,0.88,0.73,0.58,0.47,0.3,0.23,0.37,0.3,0.23,0.17,0.09,0.07,0.06,0.01,0.06,0.05,0.05,0.04,0.04,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 12:25:00,2018-01-02T13:25,60,413.4,410.1,394.44,361.29,335.03,304.66,277.24,247.11,219.38,186.73,151.81,123.25,95.67,69.99,50.28,34.44,22.89,14.65,9.8,8.12,4.89,4.18,4.43,4.19,2.25,1.22,1.1,1.17,0.95,0.94,0.5,0.36,0.37,0.17,0.22,0.19,0.17,0.16,0.13,0.01,0.05,0.02,0.07,0.07,0.01,0.02,0.06,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 13:25:00,2018-01-02T14:25,60,388.53,408.94,406.98,378.93,358.83,332.64,296.93,266.27,234.23,202.45,161.96,128.61,99.04,70.16,51.51,35.8,24.19,14.86,8.64,7.51,3.89,3.41,3.05,2.86,1.46,1.02,1.02,1.07,0.95,0.75,0.62,0.52,0.33,0.27,0.19,0.2,0.2,0.21,0.16,0.04,0.05,0.05,0.06,0.04,0.0,0.04,0.06,0.01,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 14:25:00,2018-01-02T15:25,60,355.53,405.57,430.4,440.92,439.49,440.9,424.99,408.43,377.27,321.76,251.84,194.85,146.54,104.68,76.49,53.6,35.57,22.71,13.67,9.39,4.88,3.85,3.25,2.62,1.37,0.76,0.67,0.59,0.68,0.56,0.46,0.28,0.22,0.19,0.14,0.17,0.07,0.25,0.07,0.04,0.05,0.02,0.02,0.02,0.04,0.01,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 15:25:00,2018-01-02T16:30,65,397.35,448.54,479.18,478.16,477.13,472.56,474.53,474.73,474.44,431.66,369.48,302.28,244.03,185.75,146.12,111.27,82.3,51.35,31.8,20.95,9.87,6.19,4.47,2.7,1.56,0.9,1.01,1.0,0.83,0.65,0.52,0.38,0.28,0.1,0.29,0.11,0.22,0.21,0.18,0.04,0.04,0.06,0.01,0.03,0.01,0.01,0.05,0.01,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 16:30:00,2018-01-02T17:30,60,338.87,398.69,455.67,494.13,520.05,546.39,562.46,569.4,574.81,556.99,516.59,457.36,390.36,313.73,260.14,204.77,148.08,102.3,61.23,40.13,19.14,11.63,7.25,4.04,2.12,1.01,1.11,1.24,1.06,1.04,0.75,0.71,0.59,0.3,0.32,0.26,0.23,0.34,0.11,0.05,0.04,0.04,0.01,0.01,0.01,0.04,0.1,0.06,0.0,0.01,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-02 17:30:00,2018-01-02T18:25,55,287.54,350.41,417.37,470.85,519.75,565.5,607.49,631.71,647.68,661.24,621.23,579.84,512.15,422.81,346.51,280.49,206.68,141.88,85.4,56.97,25.41,15.04,8.76,4.99,2.29,1.42,1.4,1.18,1.48,1.16,0.81,0.95,0.95,0.59,0.21,0.41,0.38,0.31,0.15,0.09,0.05,0.07,0.07,0.1,0.02,0.09,0.11,0.05,0.06,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
