Depth sed,Age,Uvigerina spp. δ13C,Uvigerina spp. δ18O,Event,Latitude,Longitude,Elevation,Date/Time
2.93,16.856,-0.69,3.986,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.98,16.986,-0.743,4.088,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.03,17.117,-0.002,4.306,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.08,17.247,-0.651,3.909,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.13,17.378,-0.526,4.497,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.18,17.508,-0.413,4.418,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.23,17.639,-0.52,4.365,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.28,17.769,-0.373,4.183,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.33,17.9,-0.573,4.465,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.38,18.03,-0.312,4.257,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.43,18.161,-0.779,3.551,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.48,18.265,-0.486,4.34,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.53,18.369,0.037,4.206,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.58,18.474,-0.445,4.338,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.63,18.578,-0.502,4.271,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.68,18.682,-0.479,4.373,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.73,18.786,-0.285,4.327,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.78,18.89,-0.299,4.176,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.83,18.994,-0.289,4.266,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.88,19.099,-0.54,4.264,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
