Event,Latitude,Longitude,Site,Source,URL ref,δ34S Py,Age,Samp type,Dist shore,Water depth descr,Elevation,Depth sed,SR,CH4,Main lith,CaCO3,TOC,Analyt method,Date/Time
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-26.3,-2.8,Sediment core,46.0,Slope,-252.0,4.9,,Low,Sand,26.59,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-18.5,-2.0,Sediment core,46.0,Slope,-252.0,9.3,,Low,Sand,45.09,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-12.8,-1.4,Sediment core,46.0,Slope,-252.0,9.3,,Low,Sand,45.09,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-18.2,-1.9,Sediment core,46.0,Slope,-252.0,9.3,,Low,Sand,45.09,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-32.4,-3.5,Sediment core,46.0,Slope,-252.0,10.9,,Low,Sand,45.09,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-26.8,-2.9,Sediment core,46.0,Slope,-252.0,12.4,,Low,Sand,55.7,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-23.3,-2.5,Sediment core,46.0,Slope,-252.0,14.1,,Low,Sand,55.7,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-18.9,-2.0,Sediment core,46.0,Slope,-252.0,14.1,,Low,Sand,37.8,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-22.0,-2.3,Sediment core,46.0,Slope,-252.0,14.1,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-19.5,-2.1,Sediment core,46.0,Slope,-252.0,14.1,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-4.9,-0.5,Sediment core,46.0,Slope,-252.0,14.2,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-9.3,-1.0,Sediment core,46.0,Slope,-252.0,52.6,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-7.6,-0.8,Sediment core,46.0,Slope,-252.0,52.6,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-12.8,-1.4,Sediment core,46.0,Slope,-252.0,56.2,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-15.6,-1.7,Sediment core,46.0,Slope,-252.0,56.2,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-24.3,-2.6,Sediment core,46.0,Slope,-252.0,69.4,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-18.9,-2.0,Sediment core,46.0,Slope,-252.0,80.3,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-16.2,-1.7,Sediment core,46.0,Slope,-252.0,80.3,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-14.0,-1.5,Sediment core,46.0,Slope,-252.0,88.0,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-13.2,-1.4,Sediment core,46.0,Slope,-252.0,88.0,,Low,Sand,58.76,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-11.3,-1.2,Sediment core,46.0,Slope,-252.0,88.0,,Low,Sand,58.76,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-10.3,-1.1,Sediment core,46.0,Slope,-252.0,88.0,,Low,Sand,,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-12.5,-1.3,Sediment core,46.0,Slope,-252.0,88.0,,Low,Sand,,,TRS,1986-11-05 00:00:00
Arning_etal_2009,-10.041,-79.076,,Arning et al. (2009),doi:10.1111/j.1472-4669.2009.00197.x,-26.9,2.3,Rock,,Below SWB,,,,,Phosphorite,,,CRS,
Arning_etal_2009,-10.041,-79.076,,Arning et al. (2009),doi:10.1111/j.1472-4669.2009.00197.x,-27.3,2.3,Rock,,Below SWB,,,,,Phosphorite,,,CRS,
Arning_etal_2009,-10.041,-79.076,,Arning et al. (2009),doi:10.1111/j.1472-4669.2009.00197.x,-31.0,3.5,Rock,,Below SWB,,,,,Phosphorite,,,CRS,
Arning_etal_2009,-10.041,-79.076,,Arning et al. (2009),doi:10.1111/j.1472-4669.2009.00197.x,-29.9,1.1,Rock,,Below SWB,,,,,Phosphorite,,,CRS,
Baioumy_Ismael_2010_AT,26.0,29.0,Abu-Tartur,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,-33.6,75.0,Rock,,Above SWB,,,,,Shale,,,TRS,
Baioumy_Ismael_2010_AT,26.0,29.0,Abu-Tartur,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,-1.2,75.0,Rock,,Above SWB,,,,,Shale,,,TRS,
Baioumy_Ismael_2010_AT,26.0,29.0,Abu-Tartur,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,-0.3,75.0,Rock,,Above SWB,,,,,Shale,,,TRS,
Baioumy_Ismael_2010_AT,26.0,29.0,Abu-Tartur,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,-1.6,75.0,Rock,,Above SWB,,,,,Shale,,,TRS,
Baioumy_Ismael_2010_AT,26.0,29.0,Abu-Tartur,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,-0.2,75.0,Rock,,Above SWB,,,,,Shale,,,TRS,
Baioumy_Ismael_2010_AT,26.0,29.0,Abu-Tartur,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,2.3,,Rock,,Above SWB,,,,,Sand,,,TRS,
Baioumy_Ismael_2010_AT,26.0,29.0,Abu-Tartur,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,0.0,,Rock,,Above SWB,,,,,Sand,,,TRS,
Baioumy_Ismael_2010_AT,26.0,29.0,Abu-Tartur,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,4.5,,Rock,,Above SWB,,,,,Sand,,,TRS,
Baioumy_Ismael_2010_AT,26.0,29.0,Abu-Tartur,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,5.5,,Rock,,Above SWB,,,,,Sand,,,TRS,
Baioumy_Ismael_2010_AT,26.0,29.0,Abu-Tartur,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,11.1,,Rock,,Above SWB,,,,,Sand,,,TRS,
Baioumy_Ismael_2010_AT,26.0,29.0,Abu-Tartur,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,11.1,,Rock,,Above SWB,,,,,Sand,,,TRS,
Baioumy_Ismael_2010_RS,26.0,34.0,Red Sea,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,-11.5,75.0,Rock,,Above SWB,,,,,Shale,,,TRS,
Baioumy_Ismael_2010_RS,26.0,34.0,Red Sea,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,-16.7,75.0,Rock,,Above SWB,,,,,Shale,,,TRS,
Baioumy_Ismael_2010_RS,26.0,34.0,Red Sea,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,-15.4,75.0,Rock,,Above SWB,,,,,Shale,,,TRS,
Baioumy_Ismael_2010_RS,26.0,34.0,Red Sea,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,-8.7,75.0,Rock,,Above SWB,,,,,Shale,,,TRS,
Baioumy_Ismael_2010_RS,26.0,34.0,Red Sea,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,-19.7,75.0,Rock,,Above SWB,,,,,Shale,,,TRS,
Baioumy_Ismael_2010_RS,26.0,34.0,Red Sea,Baioumy & Ismael (2010),doi:10.1016/j.coal.2010.04.005,-9.0,75.0,Rock,,Above SWB,,,,,Shale,,,TRS,
Baioumy_2011_AT,26.0,29.0,Abu-Tartur,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-12.5,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_AT,26.0,29.0,Abu-Tartur,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-10.2,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_AT,26.0,29.0,Abu-Tartur,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-14.8,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_AT,26.0,29.0,Abu-Tartur,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-10.8,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_AT,26.0,29.0,Abu-Tartur,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-11.8,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_AT,26.0,29.0,Abu-Tartur,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-14.8,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_AT,26.0,29.0,Abu-Tartur,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-14.9,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_AT,26.0,29.0,Abu-Tartur,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-15.5,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_AT,26.0,29.0,Abu-Tartur,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-9.7,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_NV,26.0,33.0,Nile Valley,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,3.0,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_NV,26.0,33.0,Nile Valley,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,4.0,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_NV,26.0,33.0,Nile Valley,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-3.2,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_NV,26.0,33.0,Nile Valley,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,1.4,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_NV,26.0,33.0,Nile Valley,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,0.9,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_NV,26.0,33.0,Nile Valley,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-13.1,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_NV,26.0,33.0,Nile Valley,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,1.2,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_RS,26.0,34.0,Red Sea,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,4.6,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_RS,26.0,34.0,Red Sea,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-23.0,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_RS,26.0,34.0,Red Sea,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,0.4,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_RS,26.0,34.0,Red Sea,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-9.2,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_RS,26.0,34.0,Red Sea,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-14.2,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_RS,26.0,34.0,Red Sea,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-12.4,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Baioumy_2011_RS,26.0,34.0,Red Sea,Baioumy (2011),doi:10.1016/j.cretres.2011.01.008,-3.5,75.0,Rock,,Above SWB,,,,,Phosphorite,,,TRS,
Berndmeyer_etal_2012,33.75,-118.12,,Berndmeyer et al. (2012),doi:10.1016/j.palaeo.2012.01.004,-31.8,13.5,Rock,,Below SWB,,,,,,,,CRS,
Berndmeyer_etal_2012,33.75,-118.12,,Berndmeyer et al. (2012),doi:10.1016/j.palaeo.2012.01.004,-29.3,13.5,Rock,,Below SWB,,,,,,,,CRS,
Berndmeyer_etal_2012,33.75,-118.12,,Berndmeyer et al. (2012),doi:10.1016/j.palaeo.2012.01.004,2.3,13.5,Rock,,Below SWB,,,,,,,,CRS,
Berndmeyer_etal_2012,33.75,-118.12,,Berndmeyer et al. (2012),doi:10.1016/j.palaeo.2012.01.004,-36.5,13.5,Rock,,Below SWB,,,,,,,,CRS,
Berndmeyer_etal_2012,33.75,-118.12,,Berndmeyer et al. (2012),doi:10.1016/j.palaeo.2012.01.004,-34.5,13.5,Rock,,Below SWB,,,,,,,,CRS,
Berndmeyer_etal_2012,33.75,-118.12,,Berndmeyer et al. (2012),doi:10.1016/j.palaeo.2012.01.004,-30.5,13.5,Rock,,Below SWB,,,,,,,,CRS,
Berndmeyer_etal_2012,33.75,-118.12,,Berndmeyer et al. (2012),doi:10.1016/j.palaeo.2012.01.004,-28.8,13.5,Rock,,Below SWB,,,,,,,,CRS,
Berndmeyer_etal_2012,33.75,-118.12,,Berndmeyer et al. (2012),doi:10.1016/j.palaeo.2012.01.004,-32.2,13.5,Rock,,Below SWB,,,,,,,,CRS,
Berndmeyer_etal_2012,33.75,-118.12,,Berndmeyer et al. (2012),doi:10.1016/j.palaeo.2012.01.004,-29.4,13.5,Rock,,Below SWB,,,,,,,,CRS,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-28.4,102.0,Rock,,Below SWB,,,,,Mud,,2.0,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-29.7,102.0,Rock,,Below SWB,,,,,Mud,,2.87,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-24.6,102.0,Rock,,Below SWB,,,,,Mud,,2.22,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-30.3,102.0,Rock,,Below SWB,,,,,Mud,,2.9,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-24.9,102.0,Rock,,Below SWB,,,,,Mud,,2.1,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-27.2,102.0,Rock,,Below SWB,,,,,Mud,,2.48,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-31.4,102.0,Rock,,Below SWB,,,,,Mud,,2.0,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-28.8,102.0,Rock,,Below SWB,,,,,Mud,,1.73,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-23.1,102.0,Rock,,Below SWB,,,,,Mud,,2.07,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-30.4,102.0,Rock,,Below SWB,,,,,Mud,,1.82,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-27.1,102.0,Rock,,Below SWB,,,,,Mud,,2.04,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-24.1,102.0,Rock,,Below SWB,,,,,Mud,,1.52,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-34.6,102.0,Rock,,Below SWB,,,,,Mud,,1.38,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-19.3,102.0,Rock,,Below SWB,,,,,Mud,,1.25,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-25.5,102.0,Rock,,Below SWB,,,,,Mud,,1.14,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-32.3,102.0,Rock,,Below SWB,,,,,Mud,,1.19,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-30.1,102.0,Rock,,Below SWB,,,,,Mud,,1.15,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-28.3,102.0,Rock,,Below SWB,,,,,Mud,,1.02,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-32.6,102.0,Rock,,Below SWB,,,,,Mud,,1.48,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-29.1,102.0,Rock,,Below SWB,,,,,Mud,,,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-31.2,102.0,Rock,,Below SWB,,,,,Mud,,,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-34.2,102.0,Rock,,Below SWB,,,,,Mud,,1.15,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-33.0,102.0,Rock,,Below SWB,,,,,Mud,,1.08,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-33.0,102.0,Rock,,Below SWB,,,,,Mud,,1.01,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-26.0,102.0,Rock,,Below SWB,,,,,Mud,,,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-22.0,102.0,Rock,,Below SWB,,,,,Mud,,,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-36.7,102.0,Rock,,Below SWB,,,,,Mud,,,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-28.3,102.0,Rock,,Below SWB,,,,,Mud,,0.82,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-30.7,102.0,Rock,,Above SWB,,,,,Sand,,2.2,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-0.1,102.0,Rock,,Above SWB,,,,,Sand,,3.28,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-24.3,102.0,Rock,,Above SWB,,,,,Sand,,2.29,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-29.5,102.0,Rock,,Above SWB,,,,,Sand,,3.35,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-5.6,102.0,Rock,,Above SWB,,,,,Sand,,,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-6.4,102.0,Rock,,Above SWB,,,,,Sand,,,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-1.2,102.0,Rock,,Above SWB,,,,,Sand,,,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-37.5,102.0,Rock,,Above SWB,,,,,Sand,,1.96,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,13.8,102.0,Rock,,Above SWB,,,,,Sand,,1.66,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-27.1,102.0,Rock,,Above SWB,,,,,Sand,,2.91,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-21.6,102.0,Rock,,Above SWB,,,,,Sand,,1.51,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,16.3,102.0,Rock,,Above SWB,,,,,Sand,,1.31,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,26.9,102.0,Rock,,Above SWB,,,,,Sand,,1.21,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,-15.6,102.0,Rock,,Above SWB,,,,,Sand,,1.44,Other,
Bloch_Krouse_1992,55.17,-118.8,,Bloch & Krouse (1992),doi:10.1306/D42678CF-2B26-11D7-8648000102C1865D,0.1,102.0,Rock,,Above SWB,,,,,Sand,,0.6,Other,
SO147_18MC,-11.0303,-78.0805,18MC,Boening et al. (2004),doi:10.1016/j.gca.2004.04.027,-29.1,,Sediment core,43.0,Slope,-255.0,,2000.0,Unknown,Mud,,19.8,CRS,2000-06-09 15:19:00
SO147_18MC,-11.0303,-78.0805,18MC,Boening et al. (2004),doi:10.1016/j.gca.2004.04.027,-29.5,,Sediment core,43.0,Slope,-255.0,,2000.0,Unknown,Mud,,16.5,CRS,2000-06-09 15:19:00
SO147_18MC,-11.0303,-78.0805,18MC,Boening et al. (2004),doi:10.1016/j.gca.2004.04.027,-32.5,,Sediment core,43.0,Slope,-255.0,,2000.0,Unknown,Mud,,11.5,CRS,2000-06-09 15:19:00
SO147_18MC,-11.0303,-78.0805,18MC,Boening et al. (2004),doi:10.1016/j.gca.2004.04.027,-32.0,,Sediment core,43.0,Slope,-654.0,,1000.0,Unknown,Mud,,12.2,CRS,2000-06-09 15:19:00
SO147_29MC,-10.0547,-78.285,29MC,Boening et al. (2004),doi:10.1016/j.gca.2004.04.027,-30.4,,Sediment core,11.0,Shelf,-102.0,,3000.0,Unknown,Mud,,6.03,CRS,2000-06-11 17:36:00
SO147_29MC,-10.0547,-78.285,29MC,Boening et al. (2004),doi:10.1016/j.gca.2004.04.027,-34.8,,Sediment core,11.0,Shelf,-102.0,,3000.0,Unknown,Mud,,2.38,CRS,2000-06-11 17:36:00
SO147_29MC,-10.0547,-78.285,29MC,Boening et al. (2004),doi:10.1016/j.gca.2004.04.027,-34.2,,Sediment core,11.0,Shelf,-102.0,,3000.0,Unknown,Mud,,1.86,CRS,2000-06-11 17:36:00
SO147_33MC,-9.7427,-79.737,33MC,Boening et al. (2004),doi:10.1016/j.gca.2004.04.027,-39.1,,Sediment core,140.0,Slope,-1357.0,,1000.0,Unknown,Mud,,6.29,CRS,2000-06-12 21:02:00
SO147_33MC,-9.7427,-79.737,33MC,Boening et al. (2004),doi:10.1016/j.gca.2004.04.027,-46.0,,Sediment core,140.0,Slope,-1357.0,,1000.0,Unknown,Mud,,5.5,CRS,2000-06-12 21:02:00
SO147_33MC,-9.7427,-79.737,33MC,Boening et al. (2004),doi:10.1016/j.gca.2004.04.027,-48.0,,Sediment core,140.0,Slope,-1357.0,,1000.0,Unknown,Mud,,4.9,CRS,2000-06-12 21:02:00
SO147_45MC,-9.6912,-78.6832,45MC,Boening et al. (2004),doi:10.1016/j.gca.2004.04.027,-30.0,,Sediment core,35.0,Shelf,-153.0,,1800.0,Unknown,Mud,,19.1,CRS,2000-06-15 12:45:00
SO147_45MC,-9.6912,-78.6832,45MC,Boening et al. (2004),doi:10.1016/j.gca.2004.04.027,-30.3,,Sediment core,35.0,Shelf,-153.0,,1800.0,Unknown,Mud,,17.1,CRS,2000-06-15 12:45:00
SO147_45MC,-9.6912,-78.6832,45MC,Boening et al. (2004),doi:10.1016/j.gca.2004.04.027,-31.6,,Sediment core,35.0,Shelf,-153.0,,1800.0,Unknown,Mud,,14.0,CRS,2000-06-15 12:45:00
