Type,Species,Reg spec no,URL ref,Treat,Time h,Stage,Perc,Perc std dev,Status,Perc_2,Perc std dev_2,l,l std dev,h,h std dev,Temp,Temp std dev,pH NBS,pH std dev,AT,AT std dev,Sal,Sal std dev,DIC,DIC std dev,CO2,CO2 std dev,[HCO3]-,[HCO3]- std dev,[CO3]2-,[CO3]2- std dev,Ca2+,Omega Cal,Omega Arg,CSC flag,pHT,CO2_2,fCO2water_SST_wet,pCO2water_SST_wet,[HCO3]-_2,[CO3]2-_2,DIC_2,Omega Arg_2,Omega Cal_2,Event,Latitude,Longitude,Date/Time
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,120,,,,d)convex,6.584831053,8.2,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,120,,,,e)convex&protrunded,7.525955089,65.4,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,144,,,,a)normal,94.4,3.261901286,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,144,,,,b)indented,3.2,3.12409987,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,144,,,,c)protrunding,1.6,1.356465997,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,144,,,,d)convex,0.8,0.748331477,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,144,,,,e)convex&protrunded,0.0,0.0,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,144,,,,a)normal,0.8,0.4,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,144,,,,b)indented,0.894427191,1.0,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,144,,,,c)protrunding,3.919183588,23.2,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,144,,,,d)convex,8.966604709,11.0,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,144,,,,e)convex&protrunded,10.89219904,64.4,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,54,,,,,,,105.5,0.5,73.7,0.3,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,120,,,,,,,117.5,1.7,84.2,1.2,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,144,,,,,,,118.8,1.5,85.6,1.3,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,54,,,,,,,71.3,2.0,56.8,3.3,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,120,,,,,,,87.1,2.7,67.3,1.7,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,144,,,,,,,88.8,3.2,69.1,1.9,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
