Type,Species,Reg spec no,URL ref,Treat,Time h,Stage,Perc,Perc std dev,Status,Perc_2,Perc std dev_2,l,l std dev,h,h std dev,Temp,Temp std dev,pH NBS,pH std dev,AT,AT std dev,Sal,Sal std dev,DIC,DIC std dev,CO2,CO2 std dev,[HCO3]-,[HCO3]- std dev,[CO3]2-,[CO3]2- std dev,Ca2+,Omega Cal,Omega Arg,CSC flag,pHT,CO2_2,fCO2water_SST_wet,pCO2water_SST_wet,[HCO3]-_2,[CO3]2-_2,DIC_2,Omega Arg_2,Omega Cal_2,Event,Latitude,Longitude,Date/Time
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,4,Morula,44.2,27.90519665,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,4,Gastrula,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,4,Trochophore,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,4,D-larva,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,4,Abnormal,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,4,1-cell,2.34520788,2.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,4,2-cell,4.098780306,3.4,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,4,4-cell,18.20164828,62.4,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,4,Morula,18.56609814,32.2,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,4,Gastrula,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,4,Trochophore,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,4,D-larva,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,4,Abnormal,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,24,1-cell,0.6,0.547722558,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,24,2-cell,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,24,4-cell,0.2,0.447213595,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,24,Morula,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,24,Gastrula,99.2,0.836660027,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,24,Trochophore,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,24,D-larva,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,24,Abnormal,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,24,1-cell,0.836660027,0.8,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,24,2-cell,0.447213595,0.2,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,24,4-cell,0.547722558,0.4,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,24,Morula,0.447213595,0.2,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,24,Gastrula,1.643167673,98.2,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,24,Trochophore,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,24,D-larva,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,24,Abnormal,0.447213595,0.2,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,54,1-cell,0.2,0.447213595,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,54,2-cell,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,54,4-cell,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,54,Morula,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,54,Gastrula,0.2,0.447213595,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,54,Trochophore,0.2,0.447213595,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,54,D-larva,99.4,0.894427191,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,54,Abnormal,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,54,1-cell,0.547722558,0.6,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,54,2-cell,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,54,4-cell,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,54,Morula,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,54,Gastrula,7.536577473,9.4,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,54,Trochophore,20.98094373,66.8,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,54,D-larva,24.90381497,23.2,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,54,Abnormal,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,120,1-cell,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,120,2-cell,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,120,4-cell,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,120,Morula,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,120,Gastrula,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,120,Trochophore,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,120,D-larva,94.6,2.576819745,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,120,Abnormal,5.4,2.576819745,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,120,1-cell,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,120,2-cell,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,120,4-cell,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,120,Morula,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,120,Gastrula,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,120,Trochophore,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,120,D-larva,0.447213595,0.2,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,120,Abnormal,0.4,99.8,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,144,1-cell,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
