Year obs,Depth top,Depth bot,Depth water,TP,Description,Event,Latitude,Longitude,Elevation,Date/Time
2000,0,20,10,10.05,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2001,0,20,10,8.27,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2002,0,20,10,8.63,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2003,0,20,10,7.29,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2004,0,20,10,7.61,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2005,0,20,10,8.19,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2006,0,20,10,7.01,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2007,0,20,10,7.2,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2008,0,20,10,6.79,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2009,0,20,10,6.58,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2010,0,20,10,8.28,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1951,0,250,125,7.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1952,0,250,125,8.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1953,0,250,125,8.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1954,0,250,125,9.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1955,0,250,125,9.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1956,0,250,125,10.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1957,0,250,125,11.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1958,0,250,125,13.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1959,0,250,125,14.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1960,0,250,125,15.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1961,0,250,125,19.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1962,0,250,125,24.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1963,0,250,125,30.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1964,0,250,125,34.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1965,0,250,125,36.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1966,0,250,125,35.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1967,0,250,125,34.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1968,0,250,125,36.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1969,0,250,125,40.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1970,0,250,125,44.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1971,0,250,125,52.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1972,0,250,125,66.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1973,0,250,125,76.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1974,0,250,125,79.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
