Age,Age_2,Porites sp. Sr/Ca,Porites sp. Mg/Ca,Porites sp. δ18O,Porites sp. δ13C,Event,Latitude,Longitude,Elevation,Date/Time
-0.053458,2003.458,9.085,4.826,-4.4,-2.35,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.053375,2003.375,9.045,4.891,-4.48,-2.66,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.053291,2003.291,9.013,4.998,-4.68,-2.83,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.053208,2003.208,9.001,4.979,-4.73,-2.66,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.053125,2003.125,9.014,5.056,-4.75,-2.67,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.053041,2003.041,9.03,5.045,-4.75,-2.65,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.052958,2002.958,9.048,5.004,-4.74,-2.6,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.052875,2002.875,9.069,4.944,-4.69,-2.5,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.052791,2002.791,9.097,4.9,-4.63,-2.44,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.052708,2002.708,9.123,4.882,-4.57,-2.4,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.052625,2002.625,9.129,4.998,-4.55,-2.56,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.052541,2002.541,9.107,5.018,-4.58,-2.8,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.052458,2002.458,9.085,4.936,-4.62,-2.79,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.052375,2002.375,9.032,4.986,-4.71,-2.83,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.052291,2002.291,8.999,5.017,-4.77,-2.85,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
