Station,Area,Core,Depth sed,Al,Al e rel,Ba,Ba e rel,Ca2+,Cr,Cr e rel,Cu,Cu e rel,Fe,Fe e rel,K+,K e rel,La,La e rel,Li,Li e rel,Mg2+,Mg e rel,Mn,Mn e rel,Na+,Na e rel,Ni,Ni e rel,P,P e rel,Sr,Sr e rel,Ti,Ti e rel,Al_2,Al e,Ba_2,Ba e,Cr_2,Cr e,Cu_2,Cu e,Fe_2,Fe e,K,K e,La_2,La e,Li_2,Li e,Mg,Mg e,Mn_2,Mn e,Na,Na e,Ni_2,Ni e,P_2,P e,Sr_2,Sr e,Ti_2,Ti e,Event,Latitude,Longitude,Elevation,Date/Time
SO268_074MUC,Belgian collector trial pre-impact,18,0.0625,237.385,0.452,15.996,0.983,43.325,223.827,0.623,1040.065,0.327,149.582,0.313,83.784,0.049,151.38,0.327,182.367,0.166,61.718,0.163,12.635,0.5,109.593,0.138,555.118,0.741,3.914,0.552,592.752,0.227,12.494,0.258,6.738,0.02,0.454,0,0.006,0,0.029,0,4.245,0.014,2.378,0.002,0.004,0,0.005,0,1.751,0.007,0.359,0.022,3.111,0.006,0.016,0,0.111,0.024,0.017,0,0.354,0.011,SO268/1_74-1,14.13508333,-125.86365,-4518.1,2019-03-20 02:30:12
SO268_074MUC,Belgian collector trial pre-impact,18,0.0725,246.787,0.093,15.404,0.579,43.325,232.938,1.085,956.391,1.26,154.432,0.209,85.49,0.179,152.141,1.835,186.32,0.22,62.759,1.012,10.104,0.205,105.861,0.086,457.308,0.833,3.701,0.952,586.899,0.156,12.915,0.222,6.912,0.004,0.431,0,0.007,0,0.027,0,4.324,0.009,2.394,0.008,0.004,0,0.005,0,1.757,0.044,0.283,0.009,2.965,0.004,0.013,0,0.104,0.041,0.016,0,0.361,0.01,SO268/1_74-1,14.13508333,-125.86365,-4518.1,2019-03-20 02:30:12
SO268_074MUC,Belgian collector trial pre-impact,18,0.0825,248.842,0.283,15.433,0.299,43.325,241.503,1.326,915.239,1.414,156.426,0.028,85.911,0.386,152.837,1.368,188.068,0.931,64.274,1.082,8.152,0.214,104.446,0.525,408.519,0.883,3.718,0.501,586.995,0.203,13.108,0.011,7.047,0.012,0.437,0,0.007,0,0.026,0,4.429,0.001,2.433,0.017,0.004,0,0.005,0,1.819,0.047,0.231,0.009,2.958,0.023,0.012,0,0.105,0.022,0.017,0,0.37,0.0,SO268/1_74-1,14.13508333,-125.86365,-4518.1,2019-03-20 02:30:12
SO268_074MUC,Belgian collector trial pre-impact,18,0.0925,241.829,0.327,15.118,0.508,43.325,236.15,0.865,919.549,0.864,151.927,0.15,86.365,0.673,150.658,0.778,188.918,0.668,62.332,0.762,8.769,0.31,105.254,0.7,403.085,0.572,3.679,0.235,580.965,0.18,12.86,0.083,6.807,0.014,0.425,0,0.007,0,0.026,0,4.276,0.007,2.431,0.029,0.004,0,0.005,0,1.753,0.033,0.247,0.013,2.963,0.03,0.011,0,0.104,0.01,0.016,0,0.361,0.004,SO268/1_74-1,14.13508333,-125.86365,-4518.1,2019-03-20 02:30:12
SO268_074MUC,Belgian collector trial pre-impact,18,0.105,242.917,0.582,15.301,0.445,43.325,236.172,1.205,939.114,0.538,152.41,0.222,87.467,0.329,149.285,0.98,189.589,0.716,61.455,0.593,7.834,0.444,103.761,0.361,390.573,0.864,3.622,0.891,575.682,0.117,12.826,0.292,6.936,0.026,0.437,0,0.007,0,0.027,0,4.351,0.01,2.497,0.014,0.004,0,0.005,0,1.754,0.026,0.224,0.019,2.963,0.016,0.011,0,0.103,0.039,0.016,0,0.365,0.013,SO268/1_74-1,14.13508333,-125.86365,-4518.1,2019-03-20 02:30:12
SO268_074MUC,Belgian collector trial pre-impact,18,0.125,245.708,0.463,15.662,1.387,43.325,236.733,0.406,979.42,0.595,159.229,0.412,90.42,0.547,161.008,0.539,199.018,0.694,64.167,0.781,6.46,0.584,108.28,0.567,346.065,1.164,3.937,1.101,587.639,0.66,12.871,0.628,6.888,0.02,0.439,0,0.007,0,0.027,0,4.463,0.018,2.535,0.024,0.005,0,0.006,0,1.798,0.034,0.181,0.025,3.036,0.025,0.01,0,0.11,0.048,0.016,0,0.36,0.027,SO268/1_74-1,14.13508333,-125.86365,-4518.1,2019-03-20 02:30:12
SO268_074MUC,Belgian collector trial pre-impact,18,0.165,254.824,0.63,16.303,1.397,43.325,247.46,4.79,980.623,4.871,160.401,0.151,89.027,0.389,173.359,4.484,192.19,1.193,67.22,4.915,5.958,0.419,107.13,0.423,309.429,4.533,4.239,4.658,603.157,0.061,13.183,0.165,7.209,0.028,0.461,0,0.007,0,0.028,0,4.537,0.007,2.519,0.017,0.005,0,0.005,0,1.901,0.215,0.168,0.018,3.031,0.018,0.009,0,0.12,0.203,0.017,0,0.372,0.007,SO268/1_74-1,14.13508333,-125.86365,-4518.1,2019-03-20 02:30:12
SO268_074MUC,Belgian collector trial pre-impact,18,0.185,254.521,1.098,16.264,0.977,43.325,229.054,0.465,926.52,0.593,160.003,1.738,88.982,0.383,160.983,0.367,193.919,1.424,63.865,0.571,5.45,1.105,106.854,0.505,272.705,0.674,3.817,0.667,606.17,1.588,13.153,1.503,7.267,0.048,0.464,0,0.007,0,0.026,0,4.567,0.076,2.54,0.017,0.005,0,0.006,0,1.822,0.025,0.156,0.048,,0.022,0.008,0,0.109,0.029,0.017,0,0.375,0.066,SO268/1_74-1,14.13508333,-125.86365,-4518.1,2019-03-20 02:30:12
SO268_074MUC,Belgian collector trial pre-impact,18,0.225,248.062,0.051,17.259,2.464,43.325,226.557,2.267,1036.853,2.725,156.072,0.473,87.918,0.627,162.789,2.704,198.48,1.122,63.984,2.236,6.847,0.267,102.497,0.61,306.664,2.373,3.95,2.412,612.072,0.321,12.757,0.344,7.011,0.002,0.488,0,0.006,0,0.029,0,4.41,0.021,2.485,0.027,0.005,0,0.006,0,1.807,0.098,0.193,0.012,2.897,0.027,0.009,0,0.112,0.105,0.017,0,0.36,0.015,SO268/1_74-1,14.13508333,-125.86365,-4518.1,2019-03-20 02:30:12
